id,no,name,item_type,item_category_id,item_category_name,avg_cost,unit_price,unit,upc_no
7601,SonicWall-059,02-SSC-0019. SonicWall High-End NSA NSSP Series FRU Power Supply,INVENTORY,,,0,0.0,,
35652,SonicWall-153,02-SSC-1530. SonicWall Analytics On-Prem 5TB Storage License,INVENTORY,,,0,0.0,,
35653,SonicWall-154,02-SSC-1534. 24x7 Support For Analytics On-Prem 5TB Storage 2YR,INVENTORY,,,0,0.0,,
35601,SonicWall-155,02-SSC-1535. 24x7 Support For Analytics On-Prem 5TB Storage 3YR,INVENTORY,,,0,0.0,,
35701,SonicWall-151,02-SSC-1557. Advanced Protection Security Suite For NSSP 11700 5YR,INVENTORY,,,0,0.0,,
2001,SonicWall-014,02-SSC-1717 . SonicWall NSSP 10700 High Availability,INVENTORY,,,0,0.0,,
28160,SonicWall-119,02-SSC-2067. SonicWall Hosted Email Security Advanced MSSP Protect Tier Per User 1 YR,INVENTORY,,,0,0.0,,
11752,SonicWall-072,02-SSC-2188 SONICWALL CLOUD APP SECURITY ADVANCED MSSP PROTECT TIER PER USER 1 YR,INVENTORY,,,0,0.0,,
28102,SonicWall-065,02-SSC-2596. SonicWall Capture Client Advanced MSSP Protect Tier Per Endpoint  Yr,INVENTORY,,,0,0.0,,
8100,SonicWall-065 (Non-Aktif),02-SSC-2596. SonicWall Capture Client Advanced MSSP Protect Tier Per Endpoint  Yr,INVENTORY,,,0,0.0,,
29056,SonicWall-120,02-SSC-2603. SonicWall Hosted Email Security Advanced 500-999 User 1 YR,INVENTORY,,,0,0.0,,
1661,SonicWall-010,02-SSC-2821 . SonicWall TZ270,INVENTORY,,,0,0.0,,
1250,SonicWall-006,02-SSC-2825 . SonicWall TZ370,INVENTORY,,,0,0.0,,
29650,SonicWall-122,02-SSC-2829. SonicWall TZ470,INVENTORY,,,0,0.0,,
2650,SonicWall-031,02-SSC-2833 . SonicWall TZ570,INVENTORY,,,0,0.0,,
2700,SonicWall-032,02-SSC-2837 . SonicWall TZ670,INVENTORY,,,0,0.0,,
2202,SonicWall-024,02-SSC-2837. Advanced Protection Service Suite For TZ670 5YR,INVENTORY,,,0,0.0,,
2053,SonicWall-025,02-SSC-3112 . SonicWall TZ670 / TZ570 Rackmount Kit,INVENTORY,,,0,0.0,,
2102,SonicWall-026,02-SSC-3113. SonicWall TZ470/TZ370/TZ270 Rackmount Kit,INVENTORY,,,0,0.0,,
36850,SonicWall-156,02-SSC-3115. SonicWall M.2 64GB Storage Module For G3N7/GEN8 TZ NSA NSSP Series,INVENTORY,,,0,0.0,,
12600,SonicWall-076,02-SSC-4324 SONICWALL NSa 2700,INVENTORY,,,0,0.0,,
13850,SonicWall-081,02-SSC-4328 SONICWALL NSA 4700,INVENTORY,,,0,0.0,,
13001,SonicWall-078 (Non-Aktif),"02-SSC-5359 NETWORK SECURITY MANAGER ADVANCED WITH MANAGEMENT, REPORTING, AND ANALYTICS FOR NSa6600/NSa6650 1YR",INVENTORY,,,0,0.0,,
28054,SonicWall-078,"02-SSC-5359 NETWORK SECURITY MANAGER ADVANCED WITH MANAGEMENT, REPORTING, AND ANALYTICS FOR NSa6600/NSa6650 1YR",INVENTORY,,,0,0.0,,
18002,SonicWall-096,02-SSC-5547. Advanced Protection Service Suite For TZ670 1YR,INVENTORY,,,0,0.0,,
2651,SonicWall-033,02-SSC-5551 . Advanced Protection Service Suite For TZ670 5 YR,INVENTORY,,,0,0.0,,
10400,SonicWall-069,02-SSC-5559 ADVANCE PROTECTION SERVICE SUITE FOR TZ570 1YR,INVENTORY,,,0,0.0,,
2200,SonicWall-022,02-SSC-5563 . Advanced Protection  Service  Suite  For TZ570 5YR,INVENTORY,,,0,0.0,,
21150,SonicWall-088,02-SSC-5640. SonicWall TZ670 Total Secure - Essential Edition 1YR,INVENTORY,,,0,0.0,,
2604,SonicWall-038,02-SSC-5649 . SonicWall TZ570 Total Secure Essential Edition 1YR,INVENTORY,,,0,0.0,,
12500,SonicWall-075,02-SSC-5660 TZ670 SECURE UPGRADE PLUS - ESSENTIAL EDITION 3YR,INVENTORY,,,0,0.0,,
37300,SonicWall-159,02-SSC-5675. SonicWall TZ670 Total Secure Advance Edition 1 YR,INVENTORY,,,0,0.0,,
9900,SonicWall-068,02-SSC-5676 SONICWALL TZ570 TOTALSECURE - ADVANCED EDITION 1YR,INVENTORY,,,0,0.0,,
5800,SonicWall-047,02-SSC-5684.SonicWall TZ670 Secure Upgrade Plus - Advanced Edition 3YR,INVENTORY,,,0,0.0,,
22701,SonicWall-111,02-SSC-5685. SonicWall TZ670 Secure Upgrade Plus - Advanced Edition 2 YR,INVENTORY,,,0,0.0,,
19651,SonicWall-101,02-SSC-5686. SonicWall TZ570 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
31652,SonicWall-135,02-SSC-5694. SonicWall TZ570 High Availability,INVENTORY,,,0,0.0,,
2100,SonicWall-017,02-SSC-5806 . SonicWall 100GBASE-SR4 QSFP28 850NM Module,INVENTORY,,,0,0.0,,
31800,SonicWall-136,02-SSC-5891. Stateful HA Upgrade for TZ570 Series,INVENTORY,,,0,0.0,,
36807,SonicWall-157,02-SSC-6385. SonicWall TZ470 High Availability,INVENTORY,,,0,0.0,,
29700,SonicWall-123,02-SSC-6393. Advanced Protection Service Suite For TZ470 1YR,INVENTORY,,,0,0.0,,
24953,SonicWall-114,02-SSC-6394. Advanced Protection Service Suite For TZ470 2YR,INVENTORY,,,0,0.0,,
9450,SonicWall-066,02-SSC-6395 ADVANCED PROTECTION SERVICE SUITE FOR TZ470 3YR,INVENTORY,,,0,0.0,,
2802,SonicWall-035,02-SSC-6443 . SonicWall TZ370 High Availability,INVENTORY,,,0,0.0,,
33001,SonicWall-140,02-SSC-6459. Advanced Protection Security Suite For TZ470W 3 YR,INVENTORY,,,0,0.0,,
27301,SonicWall-118,02-SSC-6530. Advanced Protection Service Suite For TZ370 2YR,INVENTORY,,,0,0.0,,
35102,SonicWall-148,02-SSC-6531. Advanced Protection Security Suite For TZ370,INVENTORY,,,0,0.0,,
2101,SonicWall-020,02-SSC-6533 . Advanced Protection Service Suite For  TZ370 5YR,INVENTORY,,,0,0.0,,
6751,SonicWall-050,02-SSC-6637. 24X7 Support for TZ270 1YR,INVENTORY,,,0,0.0,,
33151,SonicWall-141,02-SSC-6649. Advanced Protection Security Suite For TZ270 1YR,INVENTORY,,,0,0.0,,
22650,SonicWall-110,02-SSC-6651. Advanced Protection Service Suite For TZ270 3YR,INVENTORY,,,0,0.0,,
1413,SonicWall-011,02-SSC-6794 TZ470 TOTALSECURE - ADVANCED EDITION 1YR,INVENTORY,,,0,0.0,,
28150,SonicWall-109,02-SSC-6796. SonicWall TZ470 Secure Upgrade Plus - Essential Edition 2YR,INVENTORY,,,0,0.0,,
13950,SonicWall-082,02-SSC-6797 SONICWALL TZ470 SECURE UPGRADE PLUS - ESSENTIAL EDITION 3YR,INVENTORY,,,0,0.0,,
19652,SonicWall-102,02-SSC-6798. SonicWall TZ470 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
14653,SonicWall-084,02-SSC-6799. SonicWall TZ470 Secure Upgrade Plus - Advanced Edition 3YR,INVENTORY,,,0,0.0,,
1200,SonicWall-004,"02-SSC-6802 . Support Reinstatement for NSA 2600/2650/2700,NSv 200/270,SMA 400/410/SMA500",INVENTORY,,,0,0.0,,
5100,SonicWall-043,02-SSC-6817. SonicWall TZ370 Total Secure Essential Edition 1YR,INVENTORY,,,0,0.0,,
13204,SonicWall-079,02-SSC-6819 SONICWALL TZ370 TOTALSECURE - ADVANCED EDITION 1YR,INVENTORY,,,0,0.0,,
25200,SonicWall-115,02-SSC-6820. SonicWall TZ370 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
2002,SonicWall-019,02-SSC-6821. SonicWall TZ370 Secure Upgrade Plus - Advanced Edition 3YR,INVENTORY,,,0,0.0,,
752,SonicWall-001,02-SSC-6822 . SonicWall TZ370 Secure Upgrade Plus-Essential Edition 2YR,INVENTORY,,,0,0.0,,
2800,SonicWall-034,02-SSC-6823 . SonicWall TZ370 Secure Upgrade Plus - Essential Edition 3YR,INVENTORY,,,0,0.0,,
20352,SonicWall-107,02-SSC-6841.SonicWall TZ270 Total Secure - Essential Edition 1YR,INVENTORY,,,0,0.0,,
11701,SonicWall-070,02-SSC-6844 SONICWALL TZ270 SECURE UPGRADE PLUS - ADVANCED EDITION 2YR,INVENTORY,,,0,0.0,,
14202,SonicWall-083,02-SSC-6845 SONICWALL TZ270 SECURE UPGRADE PLUS - ADVANCED EDITION 3YR,INVENTORY,,,0,0.0,,
35552,SonicWall-152,02-SSC-6887. SonicWall Network Security Manager - On-Prem Management only Base License - 5 Nodes 5 YR,INVENTORY,,,0,0.0,,
34601,SonicWall-147,02-SSC-6908. Advanced Protection Security Suite For NSA 3700 1YR,INVENTORY,,,0,0.0,,
17404,SonicWall-095,02-SSC-6909. Advanced Protection  service suite for NSA 3700  2YR,INVENTORY,,,0,0.0,,
6550,SonicWall-048,02-SSC-7346.Essential Protection Service Suite For NSA2700 1YR,INVENTORY,,,0,0.0,,
31101,SonicWall-127,02-SSC-7347. Essential Protection Service Suite For NSA 2700 2YR,INVENTORY,,,0,0.0,,
2601,SonicWall-036,02-SSC-8052 . Stateful HA Upgrade for TZ370,INVENTORY,,,0,0.0,,
36901,SonicWall-158,02-SSC-8053. Stateful HA Upgrade For TZ470,INVENTORY,,,0,0.0,,
31850,SonicWall-139,02-SSC-8060. SonicWall NSA 3700/2800 series FRU Power Supply,INVENTORY,,,0,0.0,,
17651,SonicWall-087,02-SSC-8196. SonicWall NSA2700 Secure Upgrade Plus - Essential Edition 2YR,INVENTORY,,,0,0.0,,
2056,SonicWall-027,02-SSC-8199 . SonicWall NSA 2700 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
14402,SonicWall-085,02-SSC-8200. SonicWall NSA2700 Secure Upgrade Plus - Advanced Edition 3YR,INVENTORY,,,0,0.0,,
20101,SonicWall-104,02-SSC-8203. SonicWall NSA 3700 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
20503,SonicWall-105,02-SSC-8206. SonicWall NSA 3700 Secure Upgrade Plus - Essential Edition 2YR,INVENTORY,,,0,0.0,,
15100,SonicWall-091,02-SSC-8209. SonicWall NSA 3700 Total Secure - Essential Edition 3YR,INVENTORY,,,0,0.0,,
35250,SonicWall-149,02-SSC-8390. SonicWall 25GBASE-SR SFP28 850NM MODULE,INVENTORY,,,0,0.0,,
2000,SonicWall-013,02-SSC-8397 . SonicWall NSSP 10700,INVENTORY,,,0,0.0,,
22754,SonicWall-112,02-SSC-8399. SonicWall NSSP 11700,INVENTORY,,,0,0.0,,
34502,SonicWall-145,02-SSC-8718. SonicWall NSA 3700 Total Secure - Advanced Edition 1YR,INVENTORY,,,0,0.0,,
15001,SonicWall-090,02-SSC-8719. SonicWall NSA 3700 Total Secure - Essential Edition 1YR,INVENTORY,,,0,0.0,,
20600,SonicWall-106,"02-SSC-8829. SonicWall Network Security Manager Advanced With Management ,Reporting,Analytics for NSA3700 1Yr",INVENTORY,,,0,0.0,,
7451,SonicWall-060-1,02-SSC-8894. SonicWall SSD Storage 1TB for Gen7 NSA NSSP Firewalls,INVENTORY,,,0,0.0,,
19700,SonicWall-100,02-SSC-8986. SonicWall NSA 4700 High Availability,INVENTORY,,,0,0.0,,
7501,SonicWall-058,02-SSC-8988. SonicWall NSA 6700 High Availability,INVENTORY,,,0,0.0,,
5000,SonicWall-055,02-SSC-9225. Advanced Protection Service Suite for NSA 4700 1YR,INVENTORY,,,0,0.0,,
16800,SonicWall-093,"02-SSC-9420. SonicWall Network Security Manager Advanced with Management, Reporting, Analytics for NSA 4700 1YR",INVENTORY,,,0,0.0,,
37601,SonicWall-161,02-SSC-9552. SonicWall NSA 4700 Secure Upgrade Plus - Advanced Edition 2YR,INVENTORY,,,0,0.0,,
19650,SonicWall-099,02-SSC-9558. SonicWall NSA 4700 Upgrade Plus - Essential Edition 2YR.,INVENTORY,,,0,0.0,,
7600,SonicWall-056,02-SSC-9594. SonicWall NSA 6700 Total Secure - Advanced Edition 3YR,INVENTORY,,,0,0.0,,
7551,SonicWall-057,02-SSC-9770. SonicWall Analytics Software ( Syslog ) for NSA6700 3YR,INVENTORY,,,0,0.0,,
34403,SonicWall-146,02-SSC-9849. SonicWall Capture Client Premier MSSP Powered+ Tier Per Edition 1YR,INVENTORY,,,0,0.0,,
5055,SonicWall-044,02-SSC-9851. Sonicwall Capture Client Premier MSSP Protect Tier Per Endpoint 1YR,INVENTORY,,,0,0.0,,
30951,SonicWall-126,02-SSC-9936. 24x7 Support for NSSP 10700 1YR,INVENTORY,,,0,0.0,,
13600,SonicWall-080,02-SSC-9942 ADVANCED PROTECTION SERVICE SUITE FOR NSSP 1070 1 YR,INVENTORY,,,0,0.0,,
2050,SonicWall-015,02-SSC-9946 . Advanced Protection Service Suite For NSSP 10700 5YR,INVENTORY,,,0,0.0,,
35600,H_Datacomm-062,"02131835 PAC80S12-CN 80W AC Power Module (66mm width case, left to right )",INVENTORY,,,0,0.0,,
19452,Huawei-028,02170477.HWA-01ideashare Key,INVENTORY,,,0,0.0,,
31655,H_Datacomm-043,02221407 AD-560062TOE POE Adapter Power-AD-560062TOE-Desktop-35W-efficiency 85%,INVENTORY,,,0,0.0,,
19400,Huawei-001,02221407. AD-560062TOE PoE Power-AD-560062TOE-Desktop-35W-efficiency 85%,INVENTORY,,,0,0.0,,
27554,Huawei-066,"02313HLU QSFP-100G-ER4 Optical Transceiver,QSFP28,100G,Single-mode module ( 1310nm,40km,LC)",INVENTORY,,,0,0.0,,
28905,Huawei-093,"02313URC Optical Transceiver SFP+ 10G Multi-mode Module(850nm,0,3KM,LC)",INVENTORY,,,0,0.0,,
29004,Huawei-091,"02313URC Optical Transceiver SFP+,10G,Multi-mode Module(850nm,0,3KM, LC )",INVENTORY,,,0,0.0,,
28753,Huawei-081,"02313URC Optical Transceiver,SFP+,10G,Multi-mode Module ( 850nm,0.3km,LC)",INVENTORY,,,0,0.0,,
27452,Huawei-067,"02313URL SFP-10G-LR Optical Transceiver,SFP+,10G,Single-mode module(1310nm,10km,LC)",INVENTORY,,,0,0.0,,
27703,HUawei-065,"02313URT QSFP28-100G-LR4 Optical Transceiver.QSFP28,100G,Single-mode module ( 1310nm,40km,LC)",INVENTORY,,,0,0.0,,
28904,Huawei-092,"02314171 Electrical Transceiver SFP GE Electrical Interface Module(100m,RJ45)",INVENTORY,,,0,0.0,,
31559,H_Datacomm-046,"02314171 SFP-1000BaseT Electrical Transceiver , SFP,GE Electrical Interface Module(100m,RJ45)",INVENTORY,,,0,0.0,,
27602,Huawei-064,"02314DBR QSFP-100G-ZR4 Optical Transceiver,QSFP28,100G,Single-mode module ( 1310nm,80km,LC)",INVENTORY,,,0,0.0,,
28954,Huawei-084,"02314VWC Memory Module,DDR RDIMM Memory 32GB,5600000KHz,1Rank(4G*4bit) 1,1V, ECC",INVENTORY,,,0,0.0,,
29001,Huawei-074,"02314VWC Memory Module,DDR RDIMM. Memory 32GB,5600000KHz,1Rank(4G*4bit), 1.1ECC",INVENTORY,,,0,0.0,,
19253,Huawei-008,"02315200. SFP-GE-LX-SM1310 Optical Transceiver, eSFP,GE,Single-mode Module ( 1310nm,10km,LC )",INVENTORY,,,0,0.0,,
19401,Huawei-009,"02315204.eSFP-GE-SX-MM850 Optical Transceiver,eSFP,GE,Multi-mode Module ( 850nm,0,55km,LC )",INVENTORY,,,0,0.0,,
29053,Huawei-089,"02315ANM Rear PSU 4*2,5 inch Hard Disk Backplane Module(for SAS/NVME)",INVENTORY,,,0,0.0,,
29003,Huawei-088,"02315ANQ 2U,1*16X PCIE5 0+2*8X PCIE 4.0 RI SER1&2 Module",INVENTORY,,,0,0.0,,
28752,Huawei-078,"02315ANQ 2U,1*16X PCIE5, 0+2*8X PCIE4.0 RI SER1&2 Module",INVENTORY,,,0,0.0,,
28855,Huawei-080,"02315BNL HP380 Ethernet Adapter 25GE Dual-Port,SFP28(without Optical Transceiver ), Half-height Half-length,Full Handle bars,PCIE 3.0 X8",INVENTORY,,,0,0.0,,
28956,Huawei-090,"02315BNL HP380 Ethernet Adapter 25GE Dual-port,SFP28(without Optical Transceiver) Half-height Half-length, full handle bars,PCIE 3.0X 8",INVENTORY,,,0,0.0,,
30051,H_Datacomm-013,"02315HNN SFP-10G-SR-eKit Optical Transceiver,SFP+,10G,Multi-mode Module ( 850nm,0,3km,LC ) eKit",INVENTORY,,,0,0.0,,
31703,H_Datacomm-045,"02315HNR SFP-10G-LR-eKit Optical Transceiver, SFP+,10G,Single-mode Module(1310nm,10km,LC )eKit",INVENTORY,,,0,0.0,,
32900,H_Datacomm-054,"02315HNW. QSFP-100G-LR4-eKit . 100GBase-LR4 Optical Transceiver,QSFP28,100G,Single-mode module (1310nm,10km,LC),eKit",INVENTORY,,,0,0.0,,
32901,H_Datacomm-055,"02315HPF. SFP-25G-LR-eKit 25GBase-LR Optical Transceiver-SFP28-25G Single-mode(1310nm,10km,LC),eKit",INVENTORY,,,0,0.0,,
29002,Huawei-079,02315anm Rear PSU 4*2.5 inch Hard Disk Backplane Module(for SAS/NVME ),INVENTORY,,,0,0.0,,
28056,Huawei-068,"02317346S-SFP-GE-LH40-SM1310Optical Transceiver,eSFP,GE,Single-mode. Module(1310nm,40km,LC)",INVENTORY,,,0,0.0,,
19353,Huawei-004,"02318169. OMXD30000 Optical Transceiver,SFP,10G,Multi-mode Module ( 850nm, 0.3km,LC )",INVENTORY,,,0,0.0,,
31450,H_Datacomm-042,"02318170. OSX010000 Optical Transceiver, SFP+,10G,Single-mode Module ( 1310nm,10km,LC )",INVENTORY,,,0,0.0,,
19304,Huawei-005,"02318170. OSX010000 Optical Transceiver, SFP+,10G,Single-mode Module ( 1310nm,10km,LC )",INVENTORY,,,0,0.0,,
31656,H_Datacom-044,"02354GBM-001 AR730 AR730,2*GE combo WAN, 1*10GE(SFP+) WAN,8*GE LAN, 1*GE combo LAN, 2*USB 2.0, 2*SIC",INVENTORY,,,0,0.0,,
19352,Huawei-002,"02354GBM-001. AR730 AR730,2*GE combo WAN, 1*10GE(SFP+)WAN, 8*GE LAN, 1*GE combo LAN,2*USB 2.0,2*SIC",INVENTORY,,,0,0.0,,
19260,Huawei-026,"02355NCH. AC650-256AP. 10*GE ports, 2* 10GE SFP+ ports, built-in 256 license",INVENTORY,,,0,0.0,,
21352,Huawei-044,"02355NCHAC650-256APAC650-256AP mainframe ( 10*GE ports, 2*10GE SFP+ ports, with the AC/DC adapter )",INVENTORY,,,0,0.0,,
20450,Huawei-037,"02355VFB. AP761 AP761(11ax outdoor, 2+2 dual bands,built-in antenna,BLE )",INVENTORY,,,0,0.0,,
34650,H_Datacomm-059,"02355VFB. AP761 AP761(11ax outdoor, 2+2 dual bands,built-in antenna,BLE )",INVENTORY,,,0,0.0,,
20452,Huawei-040,"02355VFC. AP661 AP661 ( 11ax indoor, 2+2+4 tri bands, smart antenna, USB BLE )",INVENTORY,,,0,0.0,,
29302,H_Datacomm-007,"02355VFC. AP661 AP661 ( 11ax indoor, 2+2+4 tri bands, smart antenna, USB BLE )",INVENTORY,,,0,0.0,,
19254,Huawei-011,"02355YXHUSG6000E-S03-ACUSG6000E-S03-AC Host ( 10*GE RJ45+2*10GE SFP+, 1*Adapter,include SSL VPN 100 users )",INVENTORY,,,0,0.0,,
35651,H_Datacomm-065-1,"02355YXHUSG6000E-S03-ACUSG6000E-S03-AC Host ( 10*GE RJ45+2*10GE SFP+, 1*Adapter,include SSL VPN 100 users )",INVENTORY,,,0,0.0,,
35700,H_Datacomm-065,"02355YXHUSG6000E-S03-ACUSG6000E-S03-AC Host(10*GE RJ45+2*10GE SFP+, 1*Adapter,Include SSL VPN 100 Users)",INVENTORY,,,0,0.0,,
32850,H_Datacomm-053,"02356EQH-001. AC650-512AP AC650-512AP mainframe (10*GE electrical ports,2*10GE optical ports, with the AC/DC adapter)",INVENTORY,,,0,0.0,,
24050,Huawei-046,02356HAM. IdeaPresence 138,INVENTORY,,,0,0.0,,
28856,Huawei-083,"02356KTR Hyper-converged Node-DP2220(12*3,5 inch Hard Didk Pass through Chassis, 2*C6442Y,2*10GE,2*1300W)DP2220",INVENTORY,,,0,0.0,,
28902,Huawei-073,"02356KTR Hyper-converged Node-DP2220(12*3,5 inch Hard Disk Pass-through Chassis,2* C6442Y,2*GE,2*10GE,2*1300W)DP2220",INVENTORY,,,0,0.0,,
28952,Huawei-075,"02356PQL 960GB SSD Disk Unit(2.5"")",INVENTORY,,,0,0.0,,
28801,Huawei-085,"02356PQL 960GB SSD SAS Disk Unit(2,5"")",INVENTORY,,,0,0.0,,
29051,Huawei-076,"02356PQV 3.2TB SSD NVMe Disk Unit ( 2.5"")",INVENTORY,,,0,0.0,,
28903,Huawei-086,"02356PQV 3.2TB SSD NVMe Disk Unit(2.5"")",INVENTORY,,,0,0.0,,
28955,Huawei-087,"02356UWR 16TB 7,2K RPM SATA Disk Unit ( 3,5"")",INVENTORY,,,0,0.0,,
29052,Huawei-077,"02356UWR 16TB 7.2K RPM SATA Disk Unit(3.5"")",INVENTORY,,,0,0.0,,
31702,H_Datacomm-044,"0235GMB-001 AR730 AR730,2""GE combo WAN, 1*10GE(SFP+) WAN, 8*GE LAN,1*GE combo LAN,2*USB 2.0,2*SIC",INVENTORY,,,0,0.0,,
28953,Huawei-082,"02560105 RAID Controller-PCIE 4.0 X8-8GB cache-RAID 0,1,5,6,10,50,60 support SuperCap and Sideband Mangement",INVENTORY,,,0,0.0,,
2701,SonicWall-037,03-SSC-0731 . SonicWave 621 Wireless Access Point With Secure Wireless Network Management and Support 3YR ( Multi-Gigabit 802.3AT POE+) INTL,INVENTORY,,,0,0.0,,
31555,SonicWall-131,03-SSC-1841. SonicWall NSA 2800,INVENTORY,,,0,0.0,,
31552,SonicWall-128,03-SSC-1843. SonicWall NSA 3800,INVENTORY,,,0,0.0,,
26101,SonicWall-117,03-SSC-2498. SonicWall Cloud Secure Edge Secure Private Access Basic Per User 1YR,INVENTORY,,,0,0.0,,
17052,SonicWall-094,03-SSC-2501. SonicWall Cloud Secure Edge Secure Private Access Advanced Per User 1YR,INVENTORY,,,0,0.0,,
22803,SonicWall-113,03-SSC-2840. Sonicwall TZ80 Total Secure Adanced Edition 1 YR,INVENTORY,,,0,0.0,,
28755,SonicWall-089,03-SSC-2975. SonicWall NSA 2700 Secur  e Upgrade Advanced Edition 3YR ( Includes 1YR CSE ),INVENTORY,,,0,0.0,,
31653,SonicWall-137,03-SSC-3004. ( 3&FREE OFFER ) SonicWall TZ370 Secure Upgrade Advanced Edition 3YR( Includes 1YR CSE ),INVENTORY,,,0,0.0,,
31651,SonicWall-134,03-SSC-3018. ( 3&FREE OFFER ) SonicWall TZ570 Secure Upgrade Advanced Edition 3YR ( includes 1YR CSE ),INVENTORY,,,0,0.0,,
