customer_id,last_purchase_date,first_purchase_date,transaction_count,total_orders,monetary,total_items_purchased,customer_name,recency_days,frequency,avg_order_value,customer_age_days,r_score,f_score,m_score,rfm_score,rfm_score_numeric,segment,recommended_action,segment_priority
1153,2025-09-07 00:00:00,2023-11-12 00:00:00,15,9,251108664.0,50,PT. Comtronics Systems,95,9,27900962.66666667,665,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
11550,2024-07-08 00:00:00,2024-07-08 00:00:00,1,2,1470946.0,2,CV. Sarmada Pelita Niaga,521,2,735473.0,0,3,3,1,331,7,Other,,
11600,,,0,1,1600000.0,6,CV. Rajawali Computer,9999,1,1600000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
11650,,,0,2,4000000.0,5,CV. Mandiri Technology Sejahtera,9999,2,2000000.0,0,2,3,1,231,6,Other,,
11700,2024-06-11 00:00:00,2024-06-11 00:00:00,2,2,53277729.0,12,PT. Mahardika Teknotama Integrasi,548,2,26638864.5,0,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
11750,2024-12-11 00:00:00,2024-04-10 00:00:00,17,16,246890136.23,374,CV. Ericova Project Indonusa,365,16,15430633.514375,245,3,5,5,355,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
11850,2024-05-08 00:00:00,2024-02-09 00:00:00,10,2,50090500.0,33,PT. Pantech Tanginas Monoscope,582,2,25045250.0,89,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
11900,2024-08-10 00:00:00,2024-08-10 00:00:00,2,2,47303379.2,35,CV. Sarana Duta Solusindo,488,2,23651689.6,0,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
11950,,,0,1,1400000.0,20,PT. Imani Prima,9999,1,1400000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
1200,2025-10-01 00:00:00,2023-08-12 00:00:00,16,9,235292105.97,159,CV. Alden Technology,71,9,26143567.33,781,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
12000,,,0,1,27097300.0,9,CV. Arta Langgeng,9999,1,27097300.0,0,2,1,3,213,6,Other,,
1203,2024-04-10 00:00:00,2024-04-10 00:00:00,7,2,495578925.0,21,PT. Satu Solusi Sistem,610,2,247789462.5,0,3,3,5,335,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
1204,,,0,1,94300000.0,39,PT. Pilar Solusi Indonesia,9999,1,94300000.0,0,2,1,4,214,7,Other,,
12050,2025-12-11 00:00:00,2024-01-08 00:00:00,27,14,1288976000.0,997,PT. Meta Prima Integrasi,0,14,92069714.28571428,703,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
12100,2025-12-09 00:00:00,2025-09-09 00:00:00,4,7,7964530.0,12,CV. Mahanaim Global Technology,2,7,1137790.0,91,5,5,2,552,12,Other,,
12150,2025-09-01 00:00:00,2024-02-08 00:00:00,8,4,213393230.1198113,109,PT. Prima Data Semesta,101,4,53348307.52995283,571,4,4,4,444,12,Champions,Reward them. Can be early adopters for new products.,10.0
12200,2025-06-08 00:00:00,2025-06-08 00:00:00,1,3,154720579.0,3,PT. Universal Daya Amanah,186,3,51573526.33333334,0,4,3,4,434,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
12250,2025-11-11 00:00:00,2024-11-12 00:00:00,12,16,670720000.0,162,PT. Komputama Nusantara,30,16,41920000.0,364,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
12350,2025-08-04 00:00:00,2024-02-08 00:00:00,3,2,7920092.0,6,PT. Makro Alpha Solusindo,129,2,3960046.0,543,4,3,2,432,9,Potential Loyalist,Offer membership/loyalty program. Recommend other products.,6.0
12400,2024-06-08 00:00:00,2024-06-08 00:00:00,1,1,3290000.0,1,PT. Terus Raih Prestasi,551,1,3290000.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
12500,2024-06-08 00:00:00,2024-06-08 00:00:00,2,1,11300000.0,16,PT. Fasya Pratama Solusindo,551,1,11300000.0,0,3,1,2,312,6,Promising,Create brand awareness. Offer free trials.,3.0
12550,2024-06-08 00:00:00,2024-06-08 00:00:00,1,2,675226.0,3,Yenny Yuliana,551,2,337613.0,0,3,3,1,331,7,Other,,
12551,2024-07-08 00:00:00,2024-07-08 00:00:00,2,1,4466000.0,7,Yosep Purwo Kurniawan,521,1,4466000.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
12600,,,0,1,6900000.0,16,PT. Kembang Griya Cahaya,9999,1,6900000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
12650,2025-10-06 00:00:00,2024-02-12 00:00:00,7,6,274909958.0,114,PT. Multi Trading Indonesia Global,66,6,45818326.33333334,602,5,4,5,545,14,Champions,Reward them. Can be early adopters for new products.,10.0
12700,2024-10-08 00:00:00,2024-03-12 00:00:00,27,5,1300045337.716667,1058,PT. Integra Kreasitama Solusindo,429,5,260009067.5433334,210,3,4,5,345,12,Loyal Customers,Upsell higher value products. Engage them.,9.0
12750,2024-12-08 00:00:00,2024-12-08 00:00:00,1,3,23981208.0,11,PT. Maxplus Indonesia Anugerah,368,3,7993736.0,0,3,4,3,343,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
12850,,,0,1,8147136.0,9,Muhammad Haidar,9999,1,8147136.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
12851,,,0,1,3131700.0,6,PT. Bintang Anagata Jaya,9999,1,3131700.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
12900,,,0,1,21000000.0,2,PT. Kreatif System Indonesia,9999,1,21000000.0,0,2,1,3,213,6,Other,,
12950,,,0,2,41199000.0,25,PT. Trimitra Solusindo Cemerlang,9999,2,20599500.0,0,2,3,3,233,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
12951,,,0,3,225000000.0,38,Pt. Kawan Muda Teknologi,9999,3,75000000.0,0,2,4,5,245,11,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
13000,2025-05-02 00:00:00,2024-03-09 00:00:00,8,10,188392000.0,149,PT. Siscom Technologies,223,10,18839200.0,419,4,5,4,454,13,Champions,Reward them. Can be early adopters for new products.,10.0
1301,2024-06-05 00:00:00,2024-06-05 00:00:00,2,2,71660000.0,37,CV. Finest Anugerah,554,2,35830000.0,0,3,3,4,334,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
13050,2024-11-10 00:00:00,2024-05-12 00:00:00,68,34,53040000.0,136,PT. Multi Solusindo Perkasa,396,34,1560000.0,182,3,5,3,353,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
13100,,,0,1,42479000.0,64,PT. Wahana Alfa Husada,9999,1,42479000.0,0,2,1,3,213,6,Other,,
13150,2025-04-12 00:00:00,2024-09-09 00:00:00,2,13,278994004.06,105,CV. Great Divine Indonesia,243,13,21461077.23538462,215,4,5,5,455,14,Champions,Reward them. Can be early adopters for new products.,10.0
13251,2024-02-09 00:00:00,2024-02-09 00:00:00,3,1,1842341.0,3,PT. Implementasi Teknologi Indonesia,671,1,1842341.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
13300,2025-07-07 00:00:00,2024-11-12 00:00:00,4,3,649500000.0,1051,PT. Hipernet Indodata,157,3,216500000.0,237,4,4,5,445,13,Champions,Reward them. Can be early adopters for new products.,10.0
13400,2025-09-10 00:00:00,2025-09-10 00:00:00,1,3,143961714.0,4,"PT. Metrodata Electronics, Tbk.",92,3,47987238.0,0,5,4,4,544,13,Champions,Reward them. Can be early adopters for new products.,10.0
1350,,,0,1,15522000.0,4,PT. Kharis Cita Prasada,9999,1,15522000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
13500,2025-04-09 00:00:00,2025-04-09 00:00:00,6,2,207299720.0,17,PT. Dutakom Wibawa Putra,246,2,103649860.0,0,4,3,4,434,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
1351,,,0,2,85826703.0,2,PT. Mitra Teleinformatika Perkasa,9999,2,42913351.5,0,2,3,4,234,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
13600,2025-12-09 00:00:00,2024-02-12 00:00:00,5,13,214352158.0,108,PT. Bumi Inti Teknologi,2,13,16488627.53846154,666,5,5,4,554,14,Champions,Reward them. Can be early adopters for new products.,10.0
13601,2024-04-09 00:00:00,2024-04-09 00:00:00,2,2,18752927.0,2,Rudi Haryanto,611,2,9376463.5,0,3,3,3,333,9,Loyal Customers,Upsell higher value products. Engage them.,9.0
13650,2024-06-09 00:00:00,2024-06-09 00:00:00,2,1,4370000.0,3,PT. Sinergi Informatika Semen Indonesia,550,1,4370000.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
13700,2024-04-09 00:00:00,2024-04-09 00:00:00,1,1,851351.0,1,PT. Saranainsan Mudaselaras,611,1,851351.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
13750,2024-10-12 00:00:00,2024-05-12 00:00:00,3,11,723601882.0,273,PT. Ayooklik Mitra Sinergi,425,11,65781989.27272727,153,3,5,5,355,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
13751,2024-06-09 00:00:00,2024-06-09 00:00:00,1,1,38359650.0,1,CV. Dwijaya Makmur,550,1,38359650.0,0,3,1,3,313,7,Other,,
13800,2024-09-09 00:00:00,2024-09-09 00:00:00,5,3,14623649.0,18,Yohana Nita Ferdina,458,3,4874549.666666667,0,3,4,2,342,9,Other,,
13850,2025-06-03 00:00:00,2025-06-03 00:00:00,1,3,179980000.0,8,PT. Sisindokom Lintasbuana,191,3,59993333.33333334,0,4,4,4,444,12,Champions,Reward them. Can be early adopters for new products.,10.0
13852,,,0,1,10691621.0,4,PT. Foura Inti Sinergi,9999,1,10691621.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
13901,,,0,1,9390000.0,9,PT. Aliansi Sakti,9999,1,9390000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
13950,2024-10-09 00:00:00,2024-10-09 00:00:00,1,3,29917044.0,10,CV. Gerbang Digital Anak Bangsa,428,3,9972348.0,0,3,4,3,343,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
1400,2024-11-06 00:00:00,2024-11-06 00:00:00,2,4,78300000.0,41,PT. Quantum Tera Network,400,4,19575000.0,0,3,4,4,344,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
14000,2024-12-09 00:00:00,2024-12-09 00:00:00,2,2,5700000.0,7,PT. Teknologi Angkasa Makmur Abadi,367,2,2850000.0,0,3,3,2,332,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
14050,2025-06-03 00:00:00,2024-01-10 00:00:00,19,2,1520776725.05,138,PT. Data Net Andora,191,2,760388362.525,510,4,3,5,435,12,Loyal Customers,Upsell higher value products. Engage them.,9.0
14052,2025-10-12 00:00:00,2025-10-12 00:00:00,1,8,90374000.0,100,PT. Satu Akses Indonesia,60,8,11296750.0,0,5,5,4,554,14,Champions,Reward them. Can be early adopters for new products.,10.0
14100,,,0,1,4400000.0,4,PT. Permata Anugerah Abadi,9999,1,4400000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14101,2025-07-01 00:00:00,2025-07-01 00:00:00,1,3,9779684.0,15,PT. Cakramedia Indocyber,163,3,3259894.666666667,0,4,4,2,442,10,Potential Loyalist,Offer membership/loyalty program. Recommend other products.,6.0
14150,,,0,1,5230000.0,1,PT. Indocyber Global Teknologi,9999,1,5230000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14201,,,0,4,23696000.0,10,PT. Media Data Teknologi,9999,4,5924000.0,0,2,4,3,243,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
14250,2025-08-01 00:00:00,2024-01-10 00:00:00,9,17,247535724.0,152,CV. Jala Teknik,132,17,14560924.94117647,569,4,5,5,455,14,Champions,Reward them. Can be early adopters for new products.,10.0
14300,2025-11-02 00:00:00,2025-10-04 00:00:00,2,5,153787388.0,28,PT. Cipta Pratama Solusindo,39,5,30757477.6,29,5,4,4,544,13,Champions,Reward them. Can be early adopters for new products.,10.0
14350,,,0,3,7350000.0,5,PT. Artifnet Global Indonesia,9999,3,2450000.0,0,2,4,2,242,8,Other,,
14400,,,0,2,83679176.22,10,PT. Gosyen Solusindo Cemerlang,9999,2,41839588.11,0,2,3,4,234,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
14401,2024-01-10 00:00:00,2024-01-10 00:00:00,5,1,138500000.0,59,PT. Prima Jaya Persada Nusantara,701,1,138500000.0,0,2,1,4,214,7,Other,,
14402,2024-05-11 00:00:00,2024-01-10 00:00:00,3,3,29960000.0,11,PT. Sentra Paramitra,579,3,9986666.666666666,122,3,4,3,343,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
14403,2024-04-10 00:00:00,2024-04-10 00:00:00,4,1,18368682.0,9,PT. Global Transformasi Teknologi,610,1,18368682.0,0,3,1,3,313,7,Other,,
14404,2025-11-11 00:00:00,2024-03-12 00:00:00,6,7,296484665.0,35,PT. Profis Orkestrasi Solusindo,30,7,42354952.14285714,609,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
14405,,,0,1,7000000.0,2,PT. Harya Pilar Utama Sukses,9999,1,7000000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14451,2025-03-02 00:00:00,2024-03-10 00:00:00,7,6,50225000.0,65,PT. Tigatra Infokom,284,6,8370833.333333333,357,3,4,3,343,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
1450,2024-08-07 00:00:00,2024-04-07 00:00:00,4,4,63030000.0,15,PT. Dinamika Kreasi Teknologi,491,4,15757500.0,122,3,4,4,344,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
14500,2024-01-10 00:00:00,2024-01-10 00:00:00,3,2,57600000.0,19,CV. Deltakod Piranti Teknologi,701,2,28800000.0,0,2,3,3,233,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
14501,2024-04-10 00:00:00,2024-04-10 00:00:00,1,1,600000.0,1,PT. Gading Indo Sarana,610,1,600000.0,0,3,1,1,311,5,Promising,Create brand awareness. Offer free trials.,3.0
14502,2024-11-11 00:00:00,2024-09-12 00:00:00,3,5,13078852.0,23,PT. Indointernet,395,5,2615770.4,60,3,4,2,342,9,Other,,
1451,2025-02-07 00:00:00,2024-03-09 00:00:00,2,6,312502690.0,77,PT. Altros Teknologi,307,6,52083781.66666666,335,3,4,5,345,12,Loyal Customers,Upsell higher value products. Engage them.,9.0
1452,,,0,1,31500000.0,10,PT. Ascon Multi Prama,9999,1,31500000.0,0,2,1,3,213,6,Other,,
1453,2025-11-04 00:00:00,2025-02-12 00:00:00,7,9,4984245261.666667,405,PT. Trinet Prima Solusi,37,9,553805029.0740741,265,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
14550,2025-11-07 00:00:00,2024-07-11 00:00:00,11,5,56180806.57795918,34,PT. Data Utama Dinamika,34,5,11236161.31559184,484,5,4,3,543,12,Loyal Customers,Upsell higher value products. Engage them.,9.0
14600,2024-09-10 00:00:00,2024-09-10 00:00:00,1,3,2364150.0,3,Lenna,457,3,788050.0,0,3,4,1,341,8,Other,,
14601,,,0,2,10786480.0,9,Dika Afif Suaifi,9999,2,5393240.0,0,2,3,2,232,7,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
14650,2024-11-12 00:00:00,2024-10-10 00:00:00,3,3,41806582.0,17,PT. Serbaneka Guna Abadi,394,3,13935527.33333333,33,3,4,3,343,10,Loyal Customers,Upsell higher value products. Engage them.,9.0
14651,2025-05-06 00:00:00,2025-05-06 00:00:00,1,2,873873.0,3,Farhan Dani,219,2,436936.5,0,4,3,1,431,8,Other,,
14652,,,0,2,1126126.23,4,Fhelycia Destiana,9999,2,563063.115,0,2,3,1,231,6,Other,,
14700,2025-08-07 00:00:00,2024-11-10 00:00:00,5,15,567958800.0,738,PT. Dinamika Cipta Solusi,126,15,37863920.0,270,4,5,5,455,14,Champions,Reward them. Can be early adopters for new products.,10.0
14701,,,0,2,95793600.0,251,PT. Smart Lintas Media,9999,2,47896800.0,0,2,3,4,234,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
14750,2024-02-12 00:00:00,2024-02-12 00:00:00,2,2,9619000.0,16,PT. Adika Cipta Solusi,668,2,4809500.0,0,3,3,2,332,8,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
14751,,,0,1,8115000.0,4,Dailana Sakti Iriawan,9999,1,8115000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14753,,,0,1,3850000.0,1,PT. Arepa Nastakom Madani,9999,1,3850000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14800,2024-06-11 00:00:00,2024-06-11 00:00:00,1,10,328062564.0,805,PT. Megatama Securindo Abadi,548,10,32806256.4,0,3,5,5,355,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
14850,2025-11-03 00:00:00,2024-01-11 00:00:00,18,12,33021000.0,132,CV. Bakti Abadi,38,12,2751750.0,662,5,5,3,553,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
14851,,,0,3,108706189.0,17,PT. Lintang Utama Infotek,9999,3,36235396.33333334,0,2,4,4,244,10,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
14900,2025-01-12 00:00:00,2024-11-12 00:00:00,6,3,128103600.0,210,PT. Pasifik Cipta Nusantara,333,3,42701200.0,61,3,4,4,344,11,Loyal Customers,Upsell higher value products. Engage them.,9.0
14950,,,0,1,2150000.0,1,PT. Adia Pradipta Lestari,9999,1,2150000.0,0,2,1,1,211,4,About To Sleep,Share valuable resources. Recommend popular products.,2.0
14951,2025-05-02 00:00:00,2024-05-11 00:00:00,2,4,1351350.46,6,Ari Gustian,223,4,337837.615,356,4,4,1,441,9,Other,,
14952,,,0,1,74085135.0,12,PT. Anugrah Global Teknologi,9999,1,74085135.0,0,2,1,4,214,7,Other,,
150,2025-01-07 00:00:00,2023-04-12 00:00:00,20,31,1926170611.66,923,PT. Indotek Buana Karya,338,31,62134535.86,636,3,5,5,355,13,Loyal Customers,Upsell higher value products. Engage them.,9.0
1500,,,0,2,16755532.0,3,PT. Svarnatech Jaya Solusi,9999,2,8377766.0,0,2,3,2,232,7,Need Attention,Make limited time offers. Recommend based on purchase history.,5.0
15000,2025-08-04 00:00:00,2025-07-08 00:00:00,5,3,163398982.2,175,PT. Vervetama Technology,129,3,54466327.4,27,4,4,4,444,12,Champions,Reward them. Can be early adopters for new products.,10.0
15050,2025-07-11 00:00:00,2024-12-12 00:00:00,19,7,59811760.0,72,PT. Star Teknologi Development,153,7,8544537.142857144,211,4,5,4,454,13,Champions,Reward them. Can be early adopters for new products.,10.0
151,2025-04-11 00:00:00,2024-01-08 00:00:00,3,12,10237643546.37,684,PT. Multipolar Technology Tbk,244,12,853136962.1975001,459,4,5,5,455,14,Champions,Reward them. Can be early adopters for new products.,10.0
15150,2025-12-09 00:00:00,2024-09-12 00:00:00,39,31,1750548383.629344,2310,PT. Mora Telematika Indonesia Tbk,2,31,56469302.69772076,453,5,5,5,555,15,Champions,Reward them. Can be early adopters for new products.,10.0
152,,,0,4,45862747.0,25,PT. Prio Integrasi Universal,9999,4,11465686.75,0,2,4,3,243,9,At Risk,Send personalized emails. Offer renewals and helpful products.,7.0
15200,,,0,1,8040000.0,6,Yohan Setioso,9999,1,8040000.0,0,2,1,2,212,5,About To Sleep,Share valuable resources. Recommend popular products.,2.0
