customer_id,last_purchase_date,monetary,frequency,avg_transaction_value,recency,r_score,f_score,m_score,rfm_score_str,rfm_score,rfm_segment,avg_order_value,monetary_rank,frequency_rank,recency_rank,value_tier
310,2025-12-09,428255825.9167347,125,3426046.6073338776,-343,5,5,5,555,5.0,Champions,3426046.61,86.49,98.77,97.97,Platinum
311,2025-10-07,1720740321.66,87,19778624.386896554,-280,5,5,5,555,5.0,Champions,19778624.39,95.21,97.79,84.28,Platinum
314,2025-12-02,1571227960.0,63,24940126.34920635,-336,5,5,5,555,5.0,Champions,24940126.35,94.72,95.33,94.9,Platinum
316,2025-12-09,202080360.0,97,2083302.6804123712,-343,5,5,4,554,4.6,Champions,2083302.68,78.75,98.28,97.97,Platinum
317,2025-09-05,92462000.0,10,9246200.0,-248,5,4,4,544,4.25,Champions,9246200.0,67.81,74.32,79.91,Gold
318,2025-11-08,226027819.0,84,2690807.369047619,-312,5,5,5,555,5.0,Champions,2690807.37,80.47,97.54,91.77,Platinum
323,,4894000.0,1,4894000.0,719,2,1,1,211,1.25,About To Sleep,4894000.0,18.92,9.58,18.12,Bronze
325,2025-10-04,959118747.3471428,67,14315205.184285713,-277,5,5,5,555,5.0,Champions,14315205.18,91.89,96.19,82.86,Platinum
327,2025-11-03,405650066.0,101,4016337.287128713,-307,5,5,5,555,5.0,Champions,4016337.29,86.24,98.53,88.51,Platinum
329,2025-10-03,1185914000.0,91,13032021.978021977,-276,5,5,5,555,5.0,Champions,13032021.98,93.37,98.16,82.49,Platinum
335,2025-10-02,35594045.81,16,2224627.863125,-275,5,5,3,553,4.2,Loyal Customers,2224627.86,51.23,82.56,82.25,Gold
336,2025-11-06,208305154.0,42,4959646.523809524,-310,5,5,4,554,4.6,Champions,4959646.52,79.36,92.75,90.05,Platinum
339,2025-11-11,291510396.4,63,4627149.149206349,-315,5,5,5,555,5.0,Champions,4627149.15,83.42,95.33,93.37,Platinum
342,2025-10-07,1931964671.44,78,24768777.83897436,-280,5,5,5,555,5.0,Champions,24768777.84,95.82,97.42,84.28,Platinum
343,2025-09-04,6992613.0,11,635692.0909090909,-247,4,4,2,442,3.2,Potential Loyalist,635692.09,23.46,76.54,79.42,Bronze
346,2025-05-08,6599560.0,2,3299780.0,-128,4,1,2,412,2.15,Recent Customers,3299780.0,22.73,27.7,67.69,Bronze
347,2023-07-11,7065800.0,2,3532900.0,539,2,1,2,212,1.65,About To Sleep,3532900.0,23.96,27.7,37.22,Bronze
348,2025-12-09,2102925925.1017122,179,11748189.52570789,-343,5,5,5,555,5.0,Champions,11748189.53,96.44,99.69,97.97,Platinum
355,,15000000.0,1,15000000.0,719,2,1,2,212,1.65,About To Sleep,15000000.0,37.47,9.58,18.12,Silver
358,2025-12-02,4122601500.52,131,31470240.46198473,-336,5,5,5,555,5.0,Champions,31470240.46,98.53,98.89,94.9,Platinum
359,,63335000.0,7,9047857.142857144,719,2,4,4,244,3.5,Need Attention,9047857.14,61.55,66.03,18.12,Gold
362,2025-12-06,1139945572.0,69,16520950.31884058,-340,5,5,5,555,5.0,Champions,16520950.32,93.0,96.68,96.44,Platinum
363,,1564920.0,2,782460.0,719,2,1,1,211,1.25,About To Sleep,782460.0,7.13,27.7,18.12,Bronze
367,2025-09-01,4315685228.87,149,28964330.39510067,-244,4,5,5,455,4.75,Champions,28964330.4,98.77,99.14,78.87,Platinum
368,2025-10-12,1664455800.0,17,97909164.70588236,-285,5,5,5,555,5.0,Champions,97909164.71,95.09,83.42,87.53,Platinum
374,2024-05-06,47217000.0,8,5902125.0,239,3,4,3,343,3.35,Loyal Customers,5902125.0,55.77,68.61,44.04,Gold
376,2024-02-05,72968000.0,7,10424000.0,330,2,4,4,244,3.5,Need Attention,10424000.0,63.51,66.03,39.56,Gold
383,2025-12-09,8695509838.74845,685,12694174.947078029,-343,5,5,5,555,5.0,Champions,12694174.95,99.63,100.0,97.97,Platinum
390,2024-06-09,1242889000.0,21,59185190.47619048,205,3,5,5,355,4.5,Loyal Customers,59185190.48,93.49,86.36,46.62,Platinum
391,2023-01-12,7185000.0,3,2395000.0,719,2,2,2,222,2.0,Need Attention,2395000.0,24.2,41.77,18.12,Bronze
392,,260000000.0,2,130000000.0,719,2,1,5,215,2.85,Other,130000000.0,82.06,27.7,18.12,Platinum
395,2025-05-12,608454457.0,47,12945839.510638298,-132,4,5,5,455,4.75,Champions,12945839.51,89.19,93.61,68.67,Platinum
396,2025-12-11,200727000.0,18,11151500.0,-345,5,5,4,554,4.6,Champions,11151500.0,78.62,84.52,99.45,Platinum
402,,32280000.0,7,4611428.571428572,719,2,4,3,243,3.1,Need Attention,4611428.57,49.88,66.03,18.12,Silver
403,2025-11-06,2265155141.61,74,30610204.616351355,-310,5,5,5,555,5.0,Champions,30610204.62,96.68,97.17,90.05,Platinum
406,2025-12-09,703784534.0,137,5137113.386861314,-343,5,5,5,555,5.0,Champions,5137113.39,90.42,99.02,97.97,Platinum
408,2025-10-07,100770092.48,28,3598931.8742857142,-280,5,5,4,554,4.6,Champions,3598931.87,69.29,90.17,84.28,Gold
414,2025-10-04,486804602.0,67,7265740.328358209,-277,5,5,5,555,5.0,Champions,7265740.33,87.1,96.19,82.86,Platinum
421,,33600000.0,2,16800000.0,719,2,1,3,213,2.05,Other,16800000.0,50.61,27.7,18.12,Gold
425,2025-11-11,1576883406.23,64,24638803.22234375,-315,5,5,5,555,5.0,Champions,24638803.22,94.84,95.58,93.37,Platinum
426,2025-11-11,437050000.0,5,87410000.0,-315,5,3,5,535,4.3,Loyal Customers,87410000.0,86.61,57.68,93.37,Platinum
428,2024-12-06,548286000.0,7,78326571.42857143,25,3,4,5,345,4.15,Loyal Customers,78326571.43,88.33,66.03,54.05,Platinum
431,2025-11-07,978228790.0,179,5464965.30726257,-311,5,5,5,555,5.0,Champions,5464965.31,92.26,99.69,91.15,Platinum
436,2025-07-11,5650000.0,3,1883333.3333333333,-192,4,2,2,422,2.5,Potential Loyalist,1883333.33,20.39,41.77,74.32,Bronze
437,2025-09-09,471346000.0,30,15711533.333333334,-252,5,5,5,555,5.0,Champions,15711533.33,86.86,90.42,80.65,Platinum
445,2024-06-09,97487040.0,12,8123920.0,205,3,4,4,344,3.75,Loyal Customers,8123920.0,69.04,78.13,46.62,Gold
449,,78636800.0,1,78636800.0,719,2,1,4,214,2.45,Other,78636800.0,64.93,9.58,18.12,Gold
460,2025-11-06,2910081378.7389474,171,17018019.758707296,-310,5,5,5,555,5.0,Champions,17018019.76,97.54,99.51,90.05,Platinum
463,2025-06-05,511658106.14,37,13828597.463243242,-156,4,5,5,455,4.75,Champions,13828597.46,87.71,92.08,70.21,Platinum
466,2024-03-05,36386000.0,10,3638600.0,301,3,4,3,343,3.35,Loyal Customers,3638600.0,51.47,74.32,40.66,Gold
467,2024-05-04,176064000.0,12,14672000.0,241,3,4,4,344,3.75,Loyal Customers,14672000.0,76.9,78.13,43.61,Platinum
471,2025-06-11,1986438330.0,45,44143074.0,-162,4,5,5,455,4.75,Champions,44143074.0,96.07,93.12,71.13,Platinum
472,2025-09-07,59950000.0,11,5450000.0,-250,5,4,4,544,4.25,Champions,5450000.0,60.2,76.54,80.22,Gold
476,,497130000.0,9,55236666.666666664,719,2,4,5,245,3.9,Need Attention,55236666.67,87.47,71.56,18.12,Platinum
500,2023-04-12,10179250.44,7,1454178.6342857142,629,2,4,2,242,2.7,Need Attention,1454178.63,30.71,66.03,36.55,Silver
501,2024-03-06,10400000.0,1,10400000.0,300,3,1,2,312,1.9,Promising,10400000.0,30.96,9.58,40.79,Silver
502,2023-05-12,78636800.0,1,78636800.0,599,2,1,4,214,2.45,Other,78636800.0,64.93,9.58,36.73,Gold
505,2025-12-11,143660624.32,27,5320763.8637037035,-345,5,5,4,554,4.6,Champions,5320763.86,75.18,89.86,99.45,Platinum
506,2025-09-04,3207905495.0,61,52588614.67213115,-247,4,5,5,455,4.75,Champions,52588614.67,97.79,94.96,79.42,Platinum
550,2023-06-11,3134000.0,2,1567000.0,569,2,1,1,211,1.25,About To Sleep,1567000.0,14.25,27.7,36.98,Bronze
600,2024-11-12,204076375.0,2,102038187.5,49,3,1,4,314,2.7,Promising,102038187.5,78.87,27.7,53.26,Platinum
603,2023-06-11,10809000.0,1,10809000.0,569,2,1,2,212,1.65,About To Sleep,10809000.0,31.7,9.58,36.98,Silver
700,,134070000.0,5,26814000.0,719,2,3,4,234,3.15,Need Attention,26814000.0,74.45,57.68,18.12,Gold
755,2025-03-09,10897519.0,5,2179503.8,-68,4,3,2,432,2.85,Potential Loyalist,2179503.8,31.94,57.68,61.3,Silver
856,2025-05-03,82604458.0,14,5900318.428571428,-123,4,5,4,454,4.35,Champions,5900318.43,65.97,80.59,66.58,Gold
911,2023-09-11,56962000.0,5,11392400.0,477,2,3,3,233,2.75,Need Attention,11392400.0,58.97,57.68,37.59,Gold
912,2023-08-11,2926800.0,1,2926800.0,508,2,1,1,211,1.25,About To Sleep,2926800.0,13.64,9.58,37.35,Bronze
913,2025-11-11,504500035.41,153,3297385.8523529414,-315,5,5,5,555,5.0,Champions,3297385.85,87.59,99.26,93.37,Platinum
1050,2023-09-11,47613691.0,4,11903422.75,477,2,3,3,233,2.75,Need Attention,11903422.75,56.02,50.86,37.59,Gold
1051,2023-09-11,127000000.0,1,127000000.0,477,2,1,4,214,2.45,Other,127000000.0,73.46,9.58,37.59,Gold
1052,,85785600.0,1,85785600.0,719,2,1,4,214,2.45,Other,85785600.0,66.71,9.58,18.12,Gold
1103,2025-10-09,396534000.0,33,12016181.818181818,-282,5,5,5,555,5.0,Champions,12016181.82,85.87,91.52,85.32,Platinum
1150,,205500000.0,13,15807692.307692308,719,2,4,4,244,3.5,Need Attention,15807692.31,78.99,79.36,18.12,Platinum
1152,2023-10-11,73000000.0,2,36500000.0,447,2,2,4,224,2.8,Need Attention,36500000.0,63.64,27.7,37.84,Gold
1153,2025-09-07,251108664.0,32,7847145.75,-250,5,5,5,555,5.0,Champions,7847145.75,81.57,91.09,80.22,Platinum
1200,2025-10-01,235292105.97,37,6359246.107297298,-274,5,5,5,555,5.0,Champions,6359246.11,80.71,92.08,81.94,Platinum
1203,2024-04-10,495578925.0,12,41298243.75,265,3,4,5,345,4.15,Loyal Customers,41298243.75,87.35,78.13,42.75,Platinum
1204,,94300000.0,4,23575000.0,719,2,3,4,234,3.15,Need Attention,23575000.0,68.06,50.86,18.12,Gold
1301,2024-06-05,71660000.0,3,23886666.666666668,209,3,2,4,324,3.05,Promising,23886666.67,63.02,41.77,45.45,Gold
1350,,15522000.0,1,15522000.0,719,2,1,2,212,1.65,About To Sleep,15522000.0,37.84,9.58,18.12,Silver
1351,,85826703.0,2,42913351.5,719,2,2,4,224,2.8,Need Attention,42913351.5,66.83,27.7,18.12,Gold
1400,2024-11-06,78300000.0,9,8700000.0,55,3,4,4,344,3.75,Loyal Customers,8700000.0,64.74,71.56,52.4,Gold
1450,2024-08-07,63030000.0,8,7878750.0,146,3,4,4,344,3.75,Loyal Customers,7878750.0,61.43,68.61,49.32,Gold
1451,2025-02-07,312502690.0,14,22321620.714285713,-38,3,5,5,355,4.5,Loyal Customers,22321620.71,84.03,80.59,57.86,Platinum
1452,,31500000.0,1,31500000.0,719,2,1,3,213,2.05,Other,31500000.0,49.26,9.58,18.12,Silver
1453,2025-11-04,4984245261.666667,25,199369810.46666667,-308,5,5,5,555,5.0,Champions,199369810.47,99.02,88.76,89.07,Platinum
1500,,16755532.0,3,5585177.333333333,719,2,2,2,222,2.0,Need Attention,5585177.33,39.68,41.77,18.12,Silver
1550,,47812000.0,4,11953000.0,719,2,3,3,233,2.75,Need Attention,11953000.0,56.14,50.86,18.12,Gold
1600,2025-04-02,355474320.0,38,9354587.368421054,-92,4,5,5,455,4.75,Champions,9354587.37,85.38,92.26,62.59,Platinum
1700,2024-11-12,24600000.0,2,12300000.0,49,3,2,3,323,2.65,Promising,12300000.0,44.59,27.7,53.26,Silver
1701,2025-11-06,994943506.0,31,32094951.80645161,-310,5,5,5,555,5.0,Champions,32094951.81,92.51,90.72,90.05,Platinum
1702,2024-08-01,67410080.0,3,22470026.666666668,152,3,2,4,324,3.05,Promising,22470026.67,62.16,41.77,48.65,Gold
1703,2024-06-09,583240000.0,26,22432307.692307692,205,3,5,5,355,4.5,Loyal Customers,22432307.69,89.07,89.31,46.62,Platinum
1750,,161830000.0,7,23118571.42857143,719,2,4,4,244,3.5,Need Attention,23118571.43,76.04,66.03,18.12,Platinum
1801,,19990545.0,2,9995272.5,719,2,2,3,223,2.4,Need Attention,9995272.5,41.89,27.7,18.12,Silver
1850,2025-10-07,403334367.0,63,6402132.80952381,-280,5,5,5,555,5.0,Champions,6402132.81,86.12,95.33,84.28,Platinum
1852,2025-07-02,129515615.84714286,15,8634374.389809525,-183,4,5,4,454,4.35,Champions,8634374.39,73.83,81.57,72.24,Gold
1900,2025-10-12,341139162.50714284,66,5168775.189502165,-285,5,5,5,555,5.0,Champions,5168775.19,84.64,95.82,87.53,Platinum
1950,2023-12-12,80900000.0,6,13483333.333333334,385,2,4,4,244,3.5,Need Attention,13483333.33,65.36,62.84,38.21,Gold
1951,2025-08-04,151267830.0,18,8403768.333333334,-216,4,5,4,454,4.35,Champions,8403768.33,75.43,84.52,75.43,Platinum
1953,2024-09-09,72615000.0,13,5585769.230769231,113,3,4,4,344,3.75,Loyal Customers,5585769.23,63.27,79.36,50.8,Gold
1954,,53287600.0,7,7612514.285714285,719,2,4,3,243,3.1,Need Attention,7612514.29,58.11,66.03,18.12,Gold
2000,2024-08-08,60712000.0,6,10118666.666666666,145,3,4,4,344,3.75,Loyal Customers,10118666.67,60.69,62.84,49.63,Gold
2001,2024-08-03,692605553.0,50,13852111.06,150,3,5,5,355,4.5,Loyal Customers,13852111.06,90.17,94.04,48.89,Platinum
2002,,1309304000.0,21,62347809.52380952,719,2,5,5,255,4.25,Need Attention,62347809.52,94.1,86.36,18.12,Platinum
2051,2024-04-07,119821979.0,24,4992582.458333333,268,3,5,4,354,4.1,Loyal Customers,4992582.46,72.48,88.33,42.08,Gold
2052,2024-09-07,280950000.0,4,70237500.0,115,3,3,5,335,3.8,Loyal Customers,70237500.0,83.29,50.86,50.49,Platinum
2102,,2684684.68,1,2684684.68,719,2,1,1,211,1.25,About To Sleep,2684684.68,12.53,9.58,18.12,Bronze
2150,,1380000000.2,5,276000000.04,719,2,3,5,235,3.55,Need Attention,276000000.04,94.35,57.68,18.12,Platinum
2200,2025-11-06,5633693804.9,99,56905998.029292926,-310,5,5,5,555,5.0,Champions,56905998.03,99.14,98.4,90.05,Platinum
2201,2025-11-06,190040850.0,27,7038550.0,-310,5,5,4,554,4.6,Champions,7038550.0,78.13,89.86,90.05,Platinum
2202,,7650000.0,1,7650000.0,719,2,1,2,212,1.65,About To Sleep,7650000.0,25.31,9.58,18.12,Silver
2203,2025-04-08,351318449.0,62,5666426.596774193,-98,4,5,5,455,4.75,Champions,5666426.6,85.01,95.09,63.88,Platinum
2250,2024-06-08,102000000.0,2,51000000.0,206,3,2,4,324,3.05,Promising,51000000.0,69.53,27.7,46.01,Gold
2300,2025-11-12,2084932830.01,65,32075889.69246154,-316,5,5,5,555,5.0,Champions,32075889.69,96.31,95.7,94.35,Platinum
2302,2025-03-07,40310657.870000005,10,4031065.7870000005,-66,4,4,3,443,3.6,Loyal Customers,4031065.79,52.95,74.32,60.75,Gold
2350,,54576784.0,3,18192261.333333332,719,2,2,3,223,2.4,Need Attention,18192261.33,58.35,41.77,18.12,Gold
2351,,88009009.09,6,14668168.181666667,719,2,4,4,244,3.5,Need Attention,14668168.18,67.2,62.84,18.12,Gold
2352,2024-05-03,961570003.8100001,22,43707727.44590909,242,3,5,5,355,4.5,Loyal Customers,43707727.45,92.01,86.98,43.3,Platinum
2353,2024-07-02,14355400.0,5,2871080.0,182,3,3,2,332,2.6,Need Attention,2871080.0,36.86,57.68,47.42,Silver
2354,2025-07-10,58460104.0,3,19486701.333333332,-191,4,2,3,423,2.9,Potential Loyalist,19486701.33,59.71,41.77,73.71,Gold
2355,,125232000.0,4,31308000.0,719,2,3,4,234,3.15,Need Attention,31308000.0,73.22,50.86,18.12,Gold
2356,2025-01-07,53107000.0,9,5900777.777777778,-7,3,4,3,343,3.35,Loyal Customers,5900777.78,57.74,71.56,55.65,Gold
2400,,38618896.0,1,38618896.0,719,2,1,3,213,2.05,Other,38618896.0,52.09,9.58,18.12,Gold
2451,2024-12-01,93810000.0,12,7817500.0,30,3,4,4,344,3.75,Loyal Customers,7817500.0,67.94,78.13,53.69,Gold
2500,2025-12-09,2383921000.0,158,15088107.594936708,-343,5,5,5,555,5.0,Champions,15088107.59,97.05,99.39,97.97,Platinum
2501,2024-12-08,122185000.0,21,5818333.333333333,23,3,5,4,354,4.1,Loyal Customers,5818333.33,72.97,86.36,54.36,Gold
2650,,15496000.0,4,3874000.0,719,2,3,2,232,2.35,Need Attention,3874000.0,37.71,50.86,18.12,Silver
2700,,16144142.0,1,16144142.0,719,2,1,2,212,1.65,About To Sleep,16144142.0,38.7,9.58,18.12,Silver
2750,2025-03-12,12426000.0,3,4142000.0,-71,4,2,2,422,2.5,Potential Loyalist,4142000.0,33.66,41.77,62.22,Silver
2751,,803000000.0,13,61769230.76923077,719,2,4,5,245,3.9,Need Attention,61769230.77,91.28,79.36,18.12,Platinum
2850,,75550000.0,2,37775000.0,719,2,2,4,224,2.8,Need Attention,37775000.0,64.25,27.7,18.12,Gold
2900,2023-01-12,106126082.0,1,106126082.0,719,2,1,4,214,2.45,Other,106126082.0,69.78,9.58,18.12,Gold
2950,,163320000.0,5,32664000.0,719,2,3,4,234,3.15,Need Attention,32664000.0,76.17,57.68,18.12,Platinum
2951,2023-01-12,14148000.0,2,7074000.0,719,2,2,2,222,2.0,Need Attention,7074000.0,36.49,27.7,18.12,Silver
3000,2024-04-04,23626522.77,9,2625169.196666667,271,3,4,3,343,3.35,Loyal Customers,2625169.2,44.1,71.56,41.52,Silver
3050,,6050000.0,3,2016666.6666666667,719,2,2,2,222,2.0,Need Attention,2016666.67,21.38,41.77,18.12,Bronze
3100,2024-07-10,110401622.0,6,18400270.333333332,174,3,4,4,344,3.75,Loyal Customers,18400270.33,70.64,62.84,48.4,Gold
3150,2025-11-08,3675151748.0,72,51043774.277777776,-312,5,5,5,555,5.0,Champions,51043774.28,98.03,96.87,91.77,Platinum
3250,2025-12-03,235588900.0,35,6731111.428571428,-337,5,5,5,555,5.0,Champions,6731111.43,80.84,91.77,95.58,Platinum
3251,2023-04-12,3794594.6,2,1897297.3,629,2,2,1,221,1.6,About To Sleep,1897297.3,15.85,27.7,36.55,Bronze
3300,2025-12-03,12988972.0,3,4329657.333333333,-337,5,2,2,522,2.75,Potential Loyalist,4329657.33,34.77,41.77,95.58,Silver
3350,2025-08-07,4398391018.72,24,183266292.4466667,-219,4,5,5,455,4.75,Champions,183266292.45,98.89,88.33,76.72,Platinum
3400,,48400000.0,2,24200000.0,719,2,2,3,223,2.4,Need Attention,24200000.0,56.51,27.7,18.12,Gold
3401,2023-11-12,7800000.0,1,7800000.0,415,2,1,2,212,1.65,About To Sleep,7800000.0,25.55,9.58,38.02,Silver
3403,2025-08-08,798224642.0,41,19468893.707317073,-220,4,5,5,455,4.75,Champions,19468893.71,91.15,92.63,77.27,Platinum
3405,2023-11-12,900000.0,1,900000.0,415,2,1,1,211,1.25,About To Sleep,900000.0,4.05,9.58,38.02,Bronze
3450,2025-03-03,1169210000.0,23,50835217.39130435,-62,4,5,5,455,4.75,Champions,50835217.39,93.24,87.71,60.2,Platinum
3451,2025-09-12,7903708327.0,48,164660590.14583334,-255,5,5,5,555,5.0,Champions,164660590.15,99.51,93.73,81.63,Platinum
3500,2024-10-01,560480000.0,10,56048000.0,91,3,4,5,345,4.15,Loyal Customers,56048000.0,88.57,74.32,51.17,Platinum
3600,2025-01-12,116210000.0,16,7263125.0,-12,3,5,4,354,4.1,Loyal Customers,7263125.0,71.99,82.56,56.82,Gold
3601,2025-12-06,1795611739.71,305,5887251.605606558,-340,5,5,5,555,5.0,Champions,5887251.61,95.58,99.88,96.44,Platinum
3650,2024-01-07,75636340.0,5,15127268.0,359,2,3,4,234,3.15,Need Attention,15127268.0,64.37,57.68,38.7,Gold
3700,2025-06-03,2224233354.8,40,55605833.870000005,-154,4,5,5,455,4.75,Champions,55605833.87,96.56,92.44,69.66,Platinum
3701,2025-09-04,47910900.0,11,4355536.363636363,-247,4,4,3,443,3.6,Loyal Customers,4355536.36,56.27,76.54,79.42,Gold
3750,2024-03-01,22522522.5,2,11261261.25,305,3,2,3,323,2.65,Promising,11261261.25,43.24,27.7,40.42,Silver
3752,2025-11-11,3696052208.1049123,87,42483358.71384957,-315,5,5,5,555,5.0,Champions,42483358.71,98.16,97.79,93.37,Platinum
3753,2025-10-06,332267608.83,32,10383362.7759375,-279,5,5,5,555,5.0,Champions,10383362.78,84.4,91.09,83.42,Platinum
3755,,54780000.0,3,18260000.0,719,2,2,3,223,2.4,Need Attention,18260000.0,58.48,41.77,18.12,Gold
3800,2025-05-11,311545637.0,18,17308090.944444444,-131,4,5,5,455,4.75,Champions,17308090.94,83.91,84.52,68.06,Platinum
3801,2024-09-01,85000000.0,1,85000000.0,121,3,1,4,314,2.7,Promising,85000000.0,66.58,9.58,50.18,Gold
3802,2024-11-07,583000000.0,9,64777777.777777776,54,3,4,5,345,4.15,Loyal Customers,64777777.78,88.94,71.56,52.64,Platinum
3850,2024-05-08,116678000.0,15,7778533.333333333,237,3,5,4,354,4.1,Loyal Customers,7778533.33,72.11,81.57,44.53,Gold
3851,,211298516.0,6,35216419.333333336,719,2,4,4,244,3.5,Need Attention,35216419.33,79.61,62.84,18.12,Platinum
3852,2025-12-06,1146477590.0,89,12881770.674157303,-340,5,5,5,555,5.0,Champions,12881770.67,93.12,98.03,96.44,Platinum
3900,2025-05-03,530275026.00857145,9,58919447.334285714,-123,4,4,5,445,4.4,Champions,58919447.33,87.96,71.56,66.58,Platinum
3901,2025-04-12,39573900.0,10,3957390.0,-102,4,4,3,443,3.6,Loyal Customers,3957390.0,52.46,74.32,65.42,Gold
3902,2024-02-08,374235856.3,3,124745285.43333334,327,2,2,5,225,3.2,Need Attention,124745285.43,85.75,41.77,39.74,Platinum
4001,,9570000.0,2,4785000.0,719,2,2,2,222,2.0,Need Attention,4785000.0,29.73,27.7,18.12,Silver
4050,,1709000.0,2,854500.0,719,2,2,1,221,1.6,About To Sleep,854500.0,7.86,27.7,18.12,Bronze
4051,2025-05-03,4171505500.2,59,70703483.05423729,-123,4,5,5,455,4.75,Champions,70703483.05,98.65,94.72,66.58,Platinum
4052,,2413000.0,5,482600.0,719,2,3,1,231,1.95,Other,482600.0,11.43,57.68,18.12,Bronze
4100,,6820000.0,2,3410000.0,719,2,2,2,222,2.0,Need Attention,3410000.0,22.85,27.7,18.12,Bronze
4150,2025-10-10,82939185.15,7,11848455.021428572,-283,5,4,4,544,4.25,Champions,11848455.02,66.09,66.03,86.12,Gold
4151,2024-12-01,1337000.0,3,445666.6666666667,30,3,2,1,321,1.85,Promising,445666.67,5.65,41.77,53.69,Bronze
4200,,755929603.8461539,11,68720873.07692307,719,2,4,5,245,3.9,Need Attention,68720873.08,90.79,76.54,18.12,Platinum
4300,,2640000.0,2,1320000.0,719,2,2,1,221,1.6,About To Sleep,1320000.0,12.29,27.7,18.12,Bronze
4350,,3352369.0,3,1117456.3333333333,719,2,2,1,221,1.6,About To Sleep,1117456.33,15.11,41.77,18.12,Bronze
4400,,9600000.0,2,4800000.0,719,2,2,2,222,2.0,Need Attention,4800000.0,29.85,27.7,18.12,Silver
4450,2024-10-01,122557500.0,10,12255750.0,91,3,4,4,344,3.75,Loyal Customers,12255750.0,73.1,74.32,51.17,Gold
4451,2024-03-01,17682000.0,3,5894000.0,305,3,2,3,323,2.65,Promising,5894000.0,40.79,41.77,40.42,Silver
4452,2024-03-12,101607000.0,5,20321400.0,294,3,3,4,334,3.4,Loyal Customers,20321400.0,69.41,57.68,41.28,Gold
4453,2025-01-12,3837175000.0,8,479646875.0,-12,3,4,5,345,4.15,Loyal Customers,479646875.0,98.4,68.61,56.82,Platinum
4500,,43852790.0,5,8770558.0,719,2,3,3,233,2.75,Need Attention,8770558.0,54.3,57.68,18.12,Gold
4501,2024-06-02,267511800.0,13,20577830.769230768,212,3,4,5,345,4.15,Loyal Customers,20577830.77,82.8,79.36,45.09,Platinum
4550,2024-02-04,134032384.0,4,33508096.0,331,2,3,4,234,3.15,Need Attention,33508096.0,74.32,50.86,39.43,Gold
4551,2024-03-01,221356500.0,7,31622357.14285714,305,3,4,5,345,4.15,Loyal Customers,31622357.14,80.22,66.03,40.42,Platinum
4600,2024-07-08,6839109.119811321,4,1709777.2799528302,176,3,3,2,332,2.6,Need Attention,1709777.28,22.97,50.86,48.03,Bronze
4601,,240809.0,1,240809.0,719,2,1,1,211,1.25,About To Sleep,240809.0,0.86,9.58,18.12,Bronze
4602,2025-09-12,983414272.1428571,50,19668285.442857143,-255,5,5,5,555,5.0,Champions,19668285.44,92.38,94.04,81.63,Platinum
4650,2025-04-08,112173000.0,16,7010812.5,-98,4,5,4,454,4.35,Champions,7010812.5,71.13,82.56,63.88,Gold
4651,2024-06-02,32007928.0,3,10669309.333333334,212,3,2,3,323,2.65,Promising,10669309.33,49.63,41.77,45.09,Silver
4700,2024-04-01,2053000.0,2,1026500.0,274,3,2,1,321,1.85,Promising,1026500.0,10.07,27.7,41.4,Bronze
4701,2024-05-01,980000.0,1,980000.0,244,3,1,1,311,1.5,Promising,980000.0,4.3,9.58,43.12,Bronze
