customer_id,preferred_day_of_week,weekend_purchase_ratio,weekend_spending_ratio,q1.0_count,q2.0_count,q3.0_count,q4.0_count,seasonal_variation,preferred_quarter,first_purchase_date,last_purchase_date,total_transactions,customer_tenure_days,recency_days,active_period_days,purchase_velocity,lifecycle_stage,expected_days_to_purchase,days_overdue,churn_risk
329,Monday,0.033,0.014,16,1,3,6,0.887,1.0,2024-02-01,2025-10-03,26,679.0,69.0,610.0,1.149,Veteran,24.4,44.6,Dormant
335,Tuesday,0.062,0.067,0,2,1,5,0.935,4.0,2024-05-07,2025-10-02,8,583.0,70.0,513.0,0.412,Veteran,73.28571428571429,-3.285714285714292,Active
336,Thursday,0.167,0.221,2,15,2,2,1.072,2.0,2024-02-01,2025-11-06,21,679.0,35.0,644.0,0.928,Veteran,32.2,2.799999999999997,At Risk
339,Monday,0.079,0.077,5,7,2,7,0.39,2.0,2023-06-12,2025-11-11,21,913.0,30.0,883.0,0.69,Veteran,44.15,-14.149999999999999,Active
342,Tuesday,0.026,0.004,11,14,1,4,0.696,2.0,2024-01-08,2025-10-07,30,703.0,65.0,638.0,1.28,Veteran,22.0,43.0,Dormant
343,Thursday,0.0,0.0,5,0,4,0,1.012,1.0,2024-01-11,2025-09-04,9,700.0,98.0,602.0,0.386,Veteran,75.25,22.75,At Risk
346,Thursday,0.0,0.0,0,2,0,0,1.732,2.0,2025-05-08,2025-05-08,2,217.0,217.0,0.0,0.276,Mature,0.0,217.0,Churned
347,Tuesday,0.0,0.0,0,0,2,0,1.732,3.0,2023-07-11,2023-07-11,2,884.0,884.0,0.0,0.068,Veteran,0.0,884.0,Churned
348,Tuesday,0.112,0.234,12,31,12,12,0.491,2.0,2023-11-12,2025-12-09,67,760.0,2.0,758.0,2.645,Veteran,11.484848484848484,-9.484848484848484,Active
358,Saturday,0.145,0.078,5,14,17,6,0.488,3.0,2023-05-12,2025-12-02,42,944.0,9.0,935.0,1.335,Veteran,22.804878048780488,-13.804878048780488,Active
362,Monday,0.087,0.172,2,4,2,12,0.825,4.0,2024-01-04,2025-12-06,20,707.0,5.0,702.0,0.849,Veteran,36.94736842105263,-31.94736842105263,Active
367,Friday,0.309,0.391,11,28,1,52,0.84,4.0,2023-11-12,2025-09-01,92,760.0,101.0,659.0,3.632,Veteran,7.241758241758242,93.75824175824175,Churned
368,Sunday,0.353,0.42,0,2,0,4,1.106,4.0,2024-05-11,2025-10-12,6,579.0,60.0,519.0,0.311,Veteran,103.8,-43.8,Active
374,Sunday,0.25,0.028,3,1,0,0,1.225,1.0,2024-02-04,2024-05-06,4,676.0,584.0,92.0,0.178,Veteran,30.666666666666668,553.3333333333334,Churned
376,Monday,0.0,0.0,2,1,0,0,1.106,1.0,2023-05-12,2024-02-05,3,944.0,675.0,269.0,0.095,Veteran,134.5,540.5,Churned
383,Monday,0.115,0.073,61,84,50,90,0.23,4.0,2023-01-12,2025-12-09,285,1064.0,2.0,1062.0,8.036,Veteran,3.73943661971831,-1.73943661971831,Active
390,Sunday,0.524,0.503,6,9,0,0,1.039,2.0,2024-01-08,2024-06-09,15,703.0,550.0,153.0,0.64,Veteran,10.928571428571429,539.0714285714286,Churned
391,Thursday,0.0,0.0,2,0,0,0,1.732,1.0,2023-01-12,2023-01-12,2,1064.0,1064.0,0.0,0.056,Veteran,0.0,1064.0,Churned
395,Monday,0.277,0.325,18,6,5,5,0.647,1.0,2024-01-07,2025-05-12,34,704.0,213.0,491.0,1.449,Veteran,14.878787878787879,198.12121212121212,Churned
396,Sunday,0.167,0.364,1,2,0,4,0.845,4.0,2025-02-12,2025-12-11,7,302.0,0.0,302.0,0.695,Mature,50.333333333333336,-50.333333333333336,Active
403,Sunday,0.135,0.218,11,14,1,7,0.59,2.0,2023-06-12,2025-11-06,33,913.0,35.0,878.0,1.084,Veteran,27.4375,7.5625,At Risk
406,Sunday,0.153,0.198,22,11,15,20,0.253,1.0,2023-07-12,2025-12-09,68,883.0,2.0,881.0,2.31,Veteran,13.149253731343284,-11.149253731343284,Active
408,Monday,0.143,0.075,3,4,0,5,0.624,4.0,2023-05-12,2025-10-07,12,944.0,65.0,879.0,0.381,Veteran,79.9090909090909,-14.909090909090907,Active
414,Thursday,0.03,0.02,3,5,8,2,0.509,3.0,2024-03-07,2025-10-04,18,644.0,68.0,576.0,0.839,Veteran,33.88235294117647,34.11764705882353,Dormant
425,Thursday,0.016,0.021,6,0,16,5,0.86,3.0,2024-01-10,2025-11-11,27,701.0,30.0,671.0,1.155,Veteran,25.807692307692307,4.192307692307693,At Risk
426,Tuesday,0.0,0.0,0,0,0,1,1.732,4.0,2025-11-11,2025-11-11,1,30.0,30.0,0.0,1.0,New,365.0,-335.0,Active
428,Friday,0.0,0.0,1,0,0,1,1.0,1.0,2024-03-01,2024-12-06,2,650.0,370.0,280.0,0.092,Veteran,280.0,90.0,Churned
431,Thursday,0.101,0.055,2,18,16,33,0.637,4.0,2024-04-03,2025-11-07,69,617.0,34.0,583.0,3.355,Veteran,8.573529411764707,25.426470588235293,At Risk
436,Friday,0.0,0.0,0,0,2,0,1.732,3.0,2025-07-11,2025-07-11,2,153.0,153.0,0.0,0.392,Established,0.0,153.0,Churned
437,Saturday,0.267,0.253,2,5,7,0,0.769,3.0,2024-05-06,2025-09-09,14,584.0,93.0,491.0,0.719,Veteran,37.76923076923077,55.23076923076923,Dormant
445,Sunday,0.083,0.075,0,1,0,0,1.732,2.0,2024-06-09,2024-06-09,1,550.0,550.0,0.0,0.055,Veteran,365.0,185.0,Churned
460,Monday,0.099,0.07,12,9,18,10,0.285,3.0,2024-02-12,2025-11-06,49,668.0,35.0,633.0,2.201,Veteran,13.1875,21.8125,At Risk
463,Sunday,0.135,0.074,3,3,1,5,0.471,4.0,2023-04-12,2025-06-05,12,974.0,189.0,785.0,0.37,Veteran,71.36363636363636,117.63636363636364,Churned
466,Monday,0.0,0.0,2,0,0,0,1.732,1.0,2024-01-08,2024-03-05,2,703.0,646.0,57.0,0.085,Veteran,57.0,589.0,Churned
467,Sunday,0.25,0.434,0,1,0,2,1.106,4.0,2023-11-12,2024-05-04,3,760.0,586.0,174.0,0.118,Veteran,87.0,499.0,Churned
471,Sunday,0.244,0.242,4,7,4,5,0.245,2.0,2023-01-12,2025-06-11,20,1064.0,183.0,881.0,0.564,Veteran,46.36842105263158,136.6315789473684,Churned
472,Sunday,0.273,0.287,0,0,3,0,1.732,3.0,2025-09-07,2025-09-07,3,95.0,95.0,0.0,0.947,Established,0.0,95.0,Churned
500,Wednesday,0.0,0.0,0,1,0,0,1.732,2.0,2023-04-12,2023-04-12,1,974.0,974.0,0.0,0.031,Veteran,365.0,609.0,Churned
501,Wednesday,0.0,0.0,1,0,0,0,1.732,1.0,2024-03-06,2024-03-06,1,645.0,645.0,0.0,0.047,Veteran,365.0,280.0,Churned
502,Friday,0.0,0.0,0,1,0,0,1.732,2.0,2023-05-12,2023-05-12,1,944.0,944.0,0.0,0.032,Veteran,365.0,579.0,Churned
505,Sunday,0.37,0.383,0,0,2,15,1.473,4.0,2024-11-10,2025-12-11,17,396.0,0.0,396.0,1.288,Veteran,24.75,-24.75,Active
506,Sunday,0.164,0.086,3,5,13,0,0.917,3.0,2024-04-10,2025-09-04,21,610.0,98.0,512.0,1.033,Veteran,25.6,72.4,Churned
550,Sunday,1.0,1.0,0,2,0,0,1.732,2.0,2023-06-11,2023-06-11,2,914.0,914.0,0.0,0.066,Veteran,0.0,914.0,Churned
600,Monday,0.0,0.0,0,0,1,1,1.0,3.0,2023-09-11,2024-11-12,2,822.0,394.0,428.0,0.073,Veteran,428.0,-34.0,Active
603,Sunday,1.0,1.0,0,1,0,0,1.732,2.0,2023-06-11,2023-06-11,1,914.0,914.0,0.0,0.033,Veteran,365.0,549.0,Churned
755,Sunday,0.2,0.641,1,0,0,0,1.732,1.0,2025-03-09,2025-03-09,1,277.0,277.0,0.0,0.108,Mature,365.0,-88.0,Active
856,Monday,0.071,0.012,0,3,2,0,1.039,2.0,2023-09-11,2025-05-03,5,822.0,222.0,600.0,0.182,Veteran,150.0,72.0,Churned
911,Monday,0.0,0.0,0,0,3,0,1.732,3.0,2023-09-11,2023-09-11,3,822.0,822.0,0.0,0.109,Veteran,0.0,822.0,Churned
912,Friday,0.0,0.0,0,0,1,0,1.732,3.0,2023-08-11,2023-08-11,1,853.0,853.0,0.0,0.035,Veteran,365.0,488.0,Churned
913,Tuesday,0.072,0.066,9,24,19,14,0.339,2.0,2023-05-12,2025-11-11,66,944.0,30.0,914.0,2.097,Veteran,14.061538461538461,15.938461538461539,At Risk
1050,Monday,0.0,0.0,0,0,2,0,1.732,3.0,2023-09-11,2023-09-11,2,822.0,822.0,0.0,0.073,Veteran,0.0,822.0,Churned
1051,Monday,0.0,0.0,0,0,1,0,1.732,3.0,2023-09-11,2023-09-11,1,822.0,822.0,0.0,0.036,Veteran,365.0,457.0,Churned
1103,Monday,0.0,0.0,9,0,7,3,0.735,1.0,2023-09-11,2025-10-09,19,822.0,63.0,759.0,0.693,Veteran,42.166666666666664,20.833333333333336,At Risk
1152,Wednesday,0.0,0.0,0,0,0,2,1.732,4.0,2023-10-11,2023-10-11,2,792.0,792.0,0.0,0.076,Veteran,0.0,792.0,Churned
1153,Sunday,0.469,0.825,0,1,2,12,1.284,4.0,2023-11-12,2025-09-07,15,760.0,95.0,665.0,0.592,Veteran,47.5,47.5,Dormant
1200,Tuesday,0.027,0.014,2,11,1,2,1.016,2.0,2023-08-12,2025-10-01,16,852.0,71.0,781.0,0.563,Veteran,52.06666666666667,18.93333333333333,At Risk
1203,Wednesday,0.0,0.0,0,7,0,0,1.732,2.0,2024-04-10,2024-04-10,7,610.0,610.0,0.0,0.344,Veteran,0.0,610.0,Churned
1301,Wednesday,0.0,0.0,0,2,0,0,1.732,2.0,2024-06-05,2024-06-05,2,554.0,554.0,0.0,0.108,Veteran,0.0,554.0,Churned
1400,Wednesday,0.0,0.0,0,0,0,2,1.732,4.0,2024-11-06,2024-11-06,2,400.0,400.0,0.0,0.15,Veteran,0.0,400.0,Churned
1450,Sunday,0.375,0.14,0,3,1,0,1.225,2.0,2024-04-07,2024-08-07,4,613.0,491.0,122.0,0.196,Veteran,40.666666666666664,450.3333333333333,Churned
1451,Friday,0.071,0.062,2,0,0,0,1.732,1.0,2024-03-09,2025-02-07,2,642.0,307.0,335.0,0.093,Veteran,335.0,-28.0,Active
1453,Sunday,0.08,0.054,2,2,1,2,0.247,1.0,2025-02-12,2025-11-04,7,302.0,37.0,265.0,0.695,Mature,44.166666666666664,-7.166666666666664,Active
1600,Wednesday,0.0,0.0,11,2,0,0,1.399,1.0,2024-02-02,2025-04-02,13,678.0,253.0,425.0,0.575,Veteran,35.416666666666664,217.58333333333334,Churned
1700,Tuesday,0.0,0.0,0,0,0,1,1.732,4.0,2024-11-12,2024-11-12,1,394.0,394.0,0.0,0.076,Veteran,365.0,29.0,At Risk
1701,Tuesday,0.065,0.044,4,2,3,3,0.236,1.0,2023-01-12,2025-11-06,12,1064.0,35.0,1029.0,0.338,Veteran,93.54545454545455,-58.54545454545455,Active
1702,Thursday,0.0,0.0,0,0,1,0,1.732,3.0,2024-08-01,2024-08-01,1,497.0,497.0,0.0,0.06,Veteran,365.0,132.0,Churned
1703,Tuesday,0.038,0.004,0,1,0,6,1.421,4.0,2023-12-12,2024-06-09,7,730.0,550.0,180.0,0.288,Veteran,30.0,520.0,Churned
1850,Wednesday,0.159,0.06,4,12,9,9,0.338,2.0,2024-02-08,2025-10-07,34,672.0,65.0,607.0,1.518,Veteran,18.393939393939394,46.60606060606061,Dormant
1852,Sunday,0.2,0.116,1,1,2,1,0.346,3.0,2024-07-06,2025-07-02,5,523.0,162.0,361.0,0.287,Veteran,90.25,71.75,Churned
1900,Wednesday,0.061,0.057,15,4,2,6,0.736,1.0,2024-02-04,2025-10-12,27,676.0,60.0,616.0,1.198,Veteran,23.692307692307693,36.30769230769231,Dormant
1950,Tuesday,0.0,0.0,0,0,0,1,1.732,4.0,2023-12-12,2023-12-12,1,730.0,730.0,0.0,0.041,Veteran,365.0,365.0,Churned
1951,Tuesday,0.056,0.012,0,1,4,0,1.311,3.0,2024-09-10,2025-08-04,5,457.0,129.0,328.0,0.328,Veteran,82.0,47.0,Dormant
1953,Monday,0.0,0.0,0,0,1,0,1.732,3.0,2024-09-09,2024-09-09,1,458.0,458.0,0.0,0.066,Veteran,365.0,93.0,Churned
2000,Saturday,0.333,0.795,0,2,1,0,1.106,2.0,2024-06-08,2024-08-08,3,551.0,490.0,61.0,0.163,Veteran,30.5,459.5,Churned
2001,Sunday,0.1,0.109,6,2,1,0,1.012,1.0,2024-01-08,2024-08-03,9,703.0,495.0,208.0,0.384,Veteran,26.0,469.0,Churned
2051,Sunday,0.083,0.082,3,1,0,0,1.225,1.0,2024-01-08,2024-04-07,4,703.0,613.0,90.0,0.171,Veteran,30.0,583.0,Churned
2052,Saturday,1.0,1.0,0,0,4,0,1.732,3.0,2024-09-07,2024-09-07,4,460.0,460.0,0.0,0.261,Veteran,0.0,460.0,Churned
2200,Wednesday,0.131,0.11,21,1,0,27,0.975,4.0,2024-03-12,2025-11-06,49,639.0,35.0,604.0,2.3,Veteran,12.583333333333334,22.416666666666664,At Risk
2201,Tuesday,0.0,0.0,0,0,4,1,1.311,3.0,2024-07-10,2025-11-06,5,519.0,35.0,484.0,0.289,Veteran,121.0,-86.0,Active
2203,Saturday,0.194,0.293,6,14,1,5,0.726,2.0,2023-12-12,2025-04-08,26,730.0,247.0,483.0,1.068,Veteran,19.32,227.68,Churned
2250,Saturday,0.5,0.5,0,1,0,0,1.732,2.0,2024-06-08,2024-06-08,1,551.0,551.0,0.0,0.054,Veteran,365.0,186.0,Churned
2300,Sunday,0.185,0.219,11,8,3,7,0.395,1.0,2023-12-12,2025-11-12,29,730.0,29.0,701.0,1.192,Veteran,25.035714285714285,3.9642857142857153,At Risk
2302,Sunday,0.4,0.265,1,0,4,0,1.311,3.0,2024-08-11,2025-03-07,5,487.0,279.0,208.0,0.308,Veteran,52.0,227.0,Churned
2352,Friday,0.0,0.0,0,3,0,0,1.732,2.0,2024-05-03,2024-05-03,3,587.0,587.0,0.0,0.153,Veteran,0.0,587.0,Churned
2353,Saturday,0.2,0.125,0,0,2,0,1.732,3.0,2023-08-12,2024-07-02,2,852.0,527.0,325.0,0.07,Veteran,325.0,202.0,Churned
2354,Thursday,0.0,0.0,0,0,1,1,1.0,3.0,2024-10-09,2025-07-10,2,428.0,154.0,274.0,0.14,Veteran,274.0,-120.0,Active
2356,Wednesday,0.111,0.046,4,1,0,0,1.311,1.0,2023-01-12,2025-01-07,5,1064.0,338.0,726.0,0.141,Veteran,181.5,156.5,Churned
2451,Sunday,0.083,0.073,0,0,0,1,1.732,4.0,2024-12-01,2024-12-01,1,375.0,375.0,0.0,0.08,Veteran,365.0,10.0,At Risk
2500,Monday,0.076,0.056,10,40,1,16,0.862,2.0,2023-05-12,2025-12-09,67,944.0,2.0,942.0,2.129,Veteran,14.272727272727273,-12.272727272727273,Active
2501,Sunday,0.238,0.146,0,0,0,5,1.732,4.0,2024-10-06,2024-12-08,5,431.0,368.0,63.0,0.348,Veteran,15.75,352.25,Churned
2750,Wednesday,0.0,0.0,1,0,0,0,1.732,1.0,2025-03-12,2025-03-12,1,274.0,274.0,0.0,0.109,Mature,365.0,-91.0,Active
2900,Thursday,0.0,0.0,1,0,0,0,1.732,1.0,2023-01-12,2023-01-12,1,1064.0,1064.0,0.0,0.028,Veteran,365.0,699.0,Churned
2951,Thursday,0.0,0.0,2,0,0,0,1.732,1.0,2023-01-12,2023-01-12,2,1064.0,1064.0,0.0,0.056,Veteran,0.0,1064.0,Churned
3000,Friday,0.0,0.0,0,6,0,0,1.732,2.0,2023-05-12,2024-04-04,6,944.0,616.0,328.0,0.191,Veteran,65.6,550.4,Churned
3100,Thursday,0.0,0.0,5,0,1,0,1.374,1.0,2023-01-12,2024-07-10,6,1064.0,519.0,545.0,0.169,Veteran,109.0,410.0,Churned
3150,Saturday,0.5,0.424,0,0,0,36,1.732,4.0,2025-11-08,2025-11-08,36,33.0,33.0,0.0,32.727,Developing,0.0,33.0,Dormant
3250,Wednesday,0.171,0.084,7,6,2,4,0.404,1.0,2023-04-12,2025-12-03,19,974.0,8.0,966.0,0.585,Veteran,53.666666666666664,-45.666666666666664,Active
3251,Wednesday,0.0,0.0,0,1,0,0,1.732,2.0,2023-04-12,2023-04-12,1,974.0,974.0,0.0,0.031,Veteran,365.0,609.0,Churned
3300,Wednesday,0.0,0.0,0,2,0,1,1.106,2.0,2023-04-12,2025-12-03,3,974.0,8.0,966.0,0.092,Veteran,483.0,-475.0,Active
3350,Thursday,0.0,0.0,0,5,6,2,0.734,3.0,2023-04-12,2025-08-07,13,974.0,126.0,848.0,0.4,Veteran,70.66666666666667,55.33333333333333,Dormant
3401,Sunday,1.0,1.0,0,0,0,1,1.732,4.0,2023-11-12,2023-11-12,1,760.0,760.0,0.0,0.039,Veteran,365.0,395.0,Churned
3403,Monday,0.073,0.012,1,10,2,1,1.079,2.0,2023-06-12,2025-08-08,14,913.0,125.0,788.0,0.46,Veteran,60.61538461538461,64.38461538461539,Churned
3405,Sunday,1.0,1.0,0,0,0,1,1.732,4.0,2023-11-12,2023-11-12,1,760.0,760.0,0.0,0.039,Veteran,365.0,395.0,Churned
3450,Monday,0.0,0.0,7,8,0,0,1.004,2.0,2023-05-12,2025-03-03,15,944.0,283.0,661.0,0.477,Veteran,47.214285714285715,235.78571428571428,Churned
3451,Friday,0.0,0.0,4,17,4,3,0.827,2.0,2023-05-12,2025-09-12,28,944.0,90.0,854.0,0.89,Veteran,31.62962962962963,58.37037037037037,Dormant
3500,Tuesday,0.0,0.0,0,0,0,10,1.732,4.0,2024-10-01,2024-10-01,10,436.0,436.0,0.0,0.688,Veteran,0.0,436.0,Churned
3600,Wednesday,0.062,0.08,1,4,1,0,1.0,2.0,2023-07-12,2025-01-12,6,883.0,333.0,550.0,0.204,Veteran,110.0,223.0,Churned
3601,Sunday,0.233,0.2,12,49,51,19,0.533,3.0,2023-08-12,2025-12-06,131,852.0,5.0,847.0,4.613,Veteran,6.515384615384615,-1.5153846153846153,Active
3650,Saturday,0.4,0.118,1,0,1,0,1.0,1.0,2023-08-12,2024-01-07,2,852.0,704.0,148.0,0.07,Veteran,148.0,556.0,Churned
3700,Saturday,0.2,0.146,7,9,0,1,0.902,2.0,2024-02-07,2025-06-03,17,673.0,191.0,482.0,0.758,Veteran,30.125,160.875,Churned
3701,Monday,0.0,0.0,2,0,1,0,1.106,1.0,2024-02-05,2025-09-04,3,675.0,98.0,577.0,0.133,Veteran,288.5,-190.5,Active
3750,Friday,0.0,0.0,1,0,0,0,1.732,1.0,2024-03-01,2024-03-01,1,650.0,650.0,0.0,0.046,Veteran,365.0,285.0,Churned
3752,Monday,0.023,0.016,1,12,3,4,0.837,2.0,2024-02-12,2025-11-11,20,668.0,30.0,638.0,0.898,Veteran,33.578947368421055,-3.578947368421055,Active
3753,Wednesday,0.062,0.07,2,5,0,3,0.721,2.0,2024-01-07,2025-10-06,10,704.0,66.0,638.0,0.426,Veteran,70.88888888888889,-4.888888888888886,Active
3800,Thursday,0.167,0.062,7,2,1,0,1.077,1.0,2024-06-09,2025-05-11,10,550.0,214.0,336.0,0.545,Veteran,37.333333333333336,176.66666666666666,Churned
3801,Sunday,1.0,1.0,0,0,1,0,1.732,3.0,2024-09-01,2024-09-01,1,466.0,466.0,0.0,0.064,Veteran,365.0,101.0,Churned
3802,Thursday,0.111,0.094,2,1,0,1,0.707,1.0,2024-01-04,2024-11-07,4,707.0,399.0,308.0,0.17,Veteran,102.66666666666667,296.3333333333333,Churned
3850,Wednesday,0.0,0.0,0,6,0,0,1.732,2.0,2024-05-08,2024-05-08,6,582.0,582.0,0.0,0.309,Veteran,0.0,582.0,Churned
3852,Friday,0.011,0.004,7,4,6,5,0.203,1.0,2024-04-03,2025-12-06,22,617.0,5.0,612.0,1.07,Veteran,29.142857142857142,-24.142857142857142,Active
3900,Saturday,0.111,0.044,0,1,0,0,1.732,2.0,2025-05-03,2025-05-03,1,222.0,222.0,0.0,0.135,Mature,365.0,-143.0,Active
3901,Sunday,0.5,0.373,4,2,1,0,0.845,1.0,2024-09-08,2025-04-12,7,459.0,243.0,216.0,0.458,Veteran,36.0,207.0,Churned
3902,Thursday,0.0,0.0,1,0,0,0,1.732,1.0,2024-02-08,2024-02-08,1,672.0,672.0,0.0,0.045,Veteran,365.0,307.0,Churned
4051,Saturday,0.068,0.071,0,4,0,1,1.311,2.0,2024-05-11,2025-05-03,5,579.0,222.0,357.0,0.259,Veteran,89.25,132.75,Churned
4150,Friday,0.0,0.0,0,0,0,1,1.732,4.0,2025-10-10,2025-10-10,1,62.0,62.0,0.0,0.484,Developing,365.0,-303.0,Active
4151,Sunday,0.333,0.499,0,0,0,1,1.732,4.0,2024-12-01,2024-12-01,1,375.0,375.0,0.0,0.08,Veteran,365.0,10.0,At Risk
4450,Thursday,0.1,0.102,0,3,0,2,1.039,2.0,2024-04-07,2024-10-01,5,613.0,436.0,177.0,0.245,Veteran,44.25,391.75,Churned
4451,Friday,0.0,0.0,2,0,0,0,1.732,1.0,2024-03-01,2024-03-01,2,650.0,650.0,0.0,0.092,Veteran,0.0,650.0,Churned
4452,Tuesday,0.0,0.0,1,0,0,0,1.732,1.0,2024-03-12,2024-03-12,1,639.0,639.0,0.0,0.047,Veteran,365.0,274.0,Churned
4453,Sunday,0.875,1.0,8,0,0,0,1.732,1.0,2024-03-01,2025-01-12,8,650.0,333.0,317.0,0.369,Veteran,45.285714285714285,287.7142857142857,Churned
4501,Friday,0.077,0.013,2,1,0,0,1.106,1.0,2024-01-02,2024-06-02,3,709.0,557.0,152.0,0.127,Veteran,76.0,481.0,Churned
4550,Sunday,0.25,0.127,1,0,0,0,1.732,1.0,2024-02-04,2024-02-04,1,676.0,676.0,0.0,0.044,Veteran,365.0,311.0,Churned
4551,Friday,0.0,0.0,4,0,0,0,1.732,1.0,2024-03-01,2024-03-01,4,650.0,650.0,0.0,0.185,Veteran,0.0,650.0,Churned
4600,Monday,0.25,0.14,0,1,1,0,1.0,2.0,2024-06-02,2024-07-08,2,557.0,521.0,36.0,0.108,Veteran,36.0,485.0,Churned
4602,Friday,0.0,0.0,0,0,7,0,1.732,3.0,2025-09-12,2025-09-12,7,90.0,90.0,0.0,2.333,Developing,0.0,90.0,Churned
4650,Tuesday,0.062,0.047,1,3,0,0,1.225,2.0,2024-03-01,2025-04-08,4,650.0,247.0,403.0,0.185,Veteran,134.33333333333334,112.66666666666666,Churned
4651,Sunday,0.667,0.752,0,3,0,0,1.732,2.0,2024-05-01,2024-06-02,3,589.0,557.0,32.0,0.153,Veteran,16.0,541.0,Churned
4700,Monday,0.0,0.0,0,2,0,0,1.732,2.0,2024-04-01,2024-04-01,2,619.0,619.0,0.0,0.097,Veteran,0.0,619.0,Churned
4701,Wednesday,0.0,0.0,0,1,0,0,1.732,2.0,2024-05-01,2024-05-01,1,589.0,589.0,0.0,0.051,Veteran,365.0,224.0,Churned
4750,Monday,0.0,0.0,0,1,0,1,1.0,2.0,2024-05-01,2025-10-06,2,589.0,66.0,523.0,0.102,Veteran,523.0,-457.0,Active
4800,Monday,0.043,0.226,1,0,0,4,1.311,4.0,2024-11-11,2025-02-10,5,395.0,304.0,91.0,0.38,Veteran,22.75,281.25,Churned
4850,Friday,0.0,0.0,0,0,0,2,1.732,4.0,2024-11-01,2024-11-01,2,405.0,405.0,0.0,0.148,Veteran,0.0,405.0,Churned
4900,Sunday,0.333,0.474,0,0,1,0,1.732,3.0,2024-09-01,2024-09-01,1,466.0,466.0,0.0,0.064,Veteran,365.0,101.0,Churned
5000,Sunday,1.0,1.0,0,0,0,1,1.732,4.0,2024-12-01,2024-12-01,1,375.0,375.0,0.0,0.08,Veteran,365.0,10.0,At Risk
5001,Sunday,0.3,0.411,3,2,0,1,0.745,1.0,2024-01-03,2025-01-02,6,708.0,343.0,365.0,0.254,Veteran,73.0,270.0,Churned
5050,Friday,0.0,0.0,1,2,5,1,0.729,3.0,2024-04-12,2025-08-01,9,608.0,132.0,476.0,0.444,Veteran,59.5,72.5,Churned
5150,Thursday,0.0,0.0,0,0,1,0,1.732,3.0,2025-08-07,2025-08-07,1,126.0,126.0,0.0,0.238,Established,365.0,-239.0,Active
