id,name,customer_no,category_id,category_name,email,phone,city
391,CV. Global Solusi,G-0002,,,,08112674676,
17804,CV. Glory Securitech Electrindo,G-0024,,,,,
13150,CV. Great Divine Indonesia,G-0016,,,,031-33176970,
6450,CV. Harean Technology Solutions,H-0006,,,,0251-7585215,
16251,CV. Harsa Kusuma,H-0014,,,,,
26903,CV. INPR Solusindo,I-0057,,,,,
26152,CV. IT Solution Lombok,I-0056,,,,,
19800,CV. Indo Use Solutions,I-0040,,,,,
23200,CV. Indosolusi Teknik,I-0048,,,,,
370,CV. Jakit Studio,J-0001,,,,08119339006,
14250,CV. Jala Teknik,J-0016,,,,,
201,CV. Jayabaya Teknologi,J-0007,,,,085228050333,
26400,CV. Jonathen Citra Komputindo,J-0022,,,,,
21400,CV. Karya Multi Artha Sejahtera,K-0018,,,,,
26101,CV. Kawan Landuh Abadi Teknik,K-0022,,,,,
6551,CV. Kembang Sari,K-0007,,,,,
506,CV. Linkmedia Nusantara,L-0003,,,,,
12100,CV. Mahanaim Global Technology,M-0051,,,,0271-5722475,
20551,CV. Mandiri Jaya,M-0076,,,,(0271) 6792106,
2800,CV. Mandiri Sukses Indonesia,M-0024,,,amalsaleh333@gmail.com,081364666687,
11650,CV. Mandiri Technology Sejahtera,M-0048,,,,,
476,CV. Mediadata Sejahtera,M-0017,,,,,
3601,CV. Melody Indah,M-0028,,,,,
27700,CV. Mitra Elektrik Bersama,M-0089,,,,,
7250,CV. Mitra Sahabat Terbaik,M-0036,,,,,
315,CV. Mitra Sanjaya,M-0001,,,,085101503869,
305,CV. Mitra Teknologi Nusantara,M-0002,,,,08994601609,
50,CV. Newline Media,N-0001,,,,08155712345,
11350,CV. Nowenibra,N-0016,,,,,
301,CV. Orbit Techno,O-0001,,,,,
18550,CV. Patappa,P-0040,,,,,
18101,CV. Platinum Computer,P-0039,,,,024-7612553,
29050,CV. Project Barong Media,P-0055,,,,,
2351,CV. Putra Goeng Project,P-0001,,,,,
11600,CV. Rajawali Computer,R-0006,,,,,
421,CV. Rajawali Komputer,R-0001,,,,,
2250,CV. Sabina Jaya Perkasa,S-0010,,,,085163635473,
22550,CV. Saka Network,S-0063,,,,,
11900,CV. Sarana Duta Solusindo,S-0036,,,,,
11550,CV. Sarmada Pelita Niaga,S-0035,,,,,
1900,CV. Satria Manunggal Abadi,S-0007,,,info@geloraperkasa.com,082147554425,
323,CV. Satya Darmawan,S-0001,,,cvsadar@yahoo.co.id,021-77210037,
10951,CV. Semesta Pratama,C-0015,,,,,
6051,CV. Sinergi Online Indonesia,S-0023,,,,,
18650,CV. Solusi Jaringan Integrasi,S-0052,,,,,
16801,CV. Sukses Sarana Sejahtera,S-0049,,,sukses.sarana.sejahtela@gmail.com,,
2002,CV. Taiba Infrastruktur,T-0005,,,,,
11150,CV. Tekindo Lantjar Djaya,T-0022,,,,,
29200,CV. Unisys Infonet,U-0009,,,,,
25751,CV. Vittindo Digital Teknologi,V-0010,,,,,
5851,CV. Win World Asih,W-0005,,,,,
5000,CV. Yarra Infotech,Y-0002,,,,,
16700,CV. Zie,Z-0002,,,,,
16450,DIVERS,C.00018,,,,,
29801,DJK Indonesia,D-0062,,,,,
14751,Dailana Sakti Iriawan,D-0034,,,,,
4701,Dananto Suryobhawiko,D-0017,,,,,
4900,Desy,D-0018,,,,,
14601,Dika Afif Suaifi,D-0032,,,,,
25550,Dimas Khoyrul,D-0057,,,,,
10300,Dionisius Dixon T,D-0025,,,,,
2203,Edwin Raharja,E-0005,,,,,
11500,Ellipse Projects SAS,E-0012,,,,,
5502,Ely Tri Prabowo,E-0008,,,,,
5552,Eunice Priscilla,E-0009,,,,,
16851,Evolusi Komputama Global,C.00021,,,,,
14651,Farhan Dani,F-0014,,,,,
8150,Fatullah Donie Sugiana,F-0010,,,,,
20150,Fauziah Astuti,F-0017,,,,,
14652,Fhelycia Destiana,F-0015,,,,,
6950,Global Teknik Informatika,C.00008,,,,,
7105,Habibi Hsb,H-0008,,,,,
550,Hamdi Habdillah,H-0002,,,,082317540000,
4151,Hartawan,H-0005,,,,,
18600,Hery Sujatmiko,H-0018,,,,,
755,Hesdi Triantono,H-0003,,,,,
21300,Ibnurical Riyanto,I-0043,,,,,
8400,Iin Andriana,I-0028,,,,,
25952,Ilham Akbar,I-0055,,,,,
3753,Independent Technic / Arif Rohman,I-0017,,,,0361-423050,
26652,Inti Data Solusi / Agus Tri Susanto,A-0087,,,,,
22901,Irwan Wiesnanto,I-0047,,,,,
16150,Ivan,I-0038,,,,,
23950,Ivan Adriansyah,I-0050,,,,,
343,James William Seubelan,J-0002,,,,,
6000,Josua Gunawan,J-0011,,,,,
7750,Kamin,K-0008,,,,,
14600,Lenna,L-0009,,,,,
23751,Luhut Jaya,L-0013,,,,,
5001,Lusius Aditya,L-0005,,,,,
19700,Maria Stevania Dewi Intan,M-0072,,,,,
24050,Metro Solusindo,C.00025,,,,,
20001,Muhamad Rizki Akbar,M-0074,,,,,
12850,Muhammad Haidar,M-0055,,,,,
4601,Nangim Masykuri,N-0008,,,,,
28203,PT Adi Cipta Sakti,A-0091,,,,,
28802,PT Aira Solusi Teknologi,A-0095,,,,,
28801,PT Alwindo Prima Solusi,A-0094,,,,,
28350,PT Arkeo Raya Elkanindo,A-0092,,,,,
27600,PT Askara Inotek Indonesia,A-0089,,,,,
28751,PT Askara Internal,A-0093,,,,,
29400,PT Aztech Karya Mandiri,A-0096,,,,,
28950,PT Bangun Jaya Pedia,B-0042,,,,,
28600,PT Bernama Informatika,B-0040,,,,,
28650,PT Borneo Integrated Technology,B-0041,,,,,
28752,PT CCI Teknologi Indonesia,C-0033,,,,,
28400,PT Cakra Borneo Sejahtera,C-0032,,,,,
28151,PT China Telecom Global,C-0031,,,,,
29452,PT Complus Sistem Solusi,C-0035,,,,,
16701,PT Data Lake Indonesia,D-0037,,,,,
27100,PT Dharma Dwitunggal Utama,D-0059,,,,,
24851,PT Digital Elektronik Ekosistem,D-0053,,,,,
29600,PT Digital Media Kreasindo,D-0061,,,,,
28651,PT Econdlight,E-0021,,,,,
16702,PT Evolusi Global Komputama,E-0016,,,,02155712449,
29351,PT Finiks Solusi Indonesia,F-0020,,,,,
17450,PT Globalnet Multi Data,G-0023,,,,,
28550,PT Golden Hasanah Indonesia,G-0032,,,,,
29350,PT Hanaya Inovasi Teknologi,H-0025,,,,,
28050,PT Imada Karya Teknikatama,I-0059,,,,,
29700,PT Inti Media Data,I-0061,,,,,
16950,PT Jarvis Integrasi Solusi,J-0018,,,,,
29750,PT Karya Cipta Mandiri,K-0027,,,,,
27301,PT Kawan Utama Digital,K-0025,,,,,
29850,PT Kudungga Teknologi Indonesia,K-0028,,,,,
29000,PT Laut Indah Mandiri,L-0015,,,,,
29650,PT Media Solusi Network,M-0094,,,,,
27850,PT Mitra Cipta Solusi,M-0090,,,,,
22900,PT Monarch Inti Teknologi,M-0081,,,,,
28700,PT Multi Dimensi Teknologi,M-0092,,,,,
29501,PT Nirwana Jasera Indonesia,N-0024,,,,,
29802,PT Nusantara Bagja Raharja,N-0025,,,,,
29950,PT Parama Solusi Informatika,P-0056,,,,,
28500,PT Pradowansa Sukses Lestari,P-0054,,,,,
29500,PT Quantum Technology Indonesia,Q-0005,,,,,
28450,PT Sanna Technology Consultant,S-0082,,,,,
30000,PT Satudata Dinamika Rekatama,S-0083,,,,,
28900,PT Teknologi Data Informatika,T-0057,,,,,
28850,PT Teknologi Informatika Virtual,T-0056,,,,,
28753,PT Total Inpro Multitech,T-0058,,,,,
28750,PT Tri Indo Global,T-0055,,,,,
29450,PT Wahana Mitra Elektrindo,W-0018,,,,,
20800,PT Zenit Visioner Teknologi,Z-0003,,,,,
6600,PT. AFC Dinamika Indonesia,A-0030,,,,,
23850,PT. AFC Prima Indonesia,A-0072,,,,,
22750,PT. Abadi Lentera Terang,A-0070,,,,,
15950,PT. Abadi Wijaya Teknologi,A-0058,,,,,
11000,PT. Abdi Insan Semesta,A-0045,,,,,
10450,PT. Abdi Jaya Integra,A-0043,,,,,
3050,PT. Access Lintas Solusi,A-0016,,,,021-5349380,
26601,PT. Access Micro Sistem,A-0088,,,,,
4001,PT. Adaptix Trisolusi Nusantara,A-0020,,,,,
700,PT. Adhi Lima Cipta,A-0011,,,,021-29490492,
1800,PT. Adi Pertiwi,A-0025,,,,0811-1346-356,
14950,PT. Adia Pradipta Lestari,A-0051,,,,,
14750,PT. Adika Cipta Solusi,A-0050,,,,,
3100,PT. Adita Nusantara Solution,A-0017,,,,021-55716659,
10550,PT. Adua Teknologi Elektrik,A-0044,,,,,
15750,PT. Agaf Global Kreasindo,A-0057,,,,,
24354,PT. Agiva Indonesia,A-0075,,,,,
24950,PT. Agratama Global Niaga,A-0077,,,,,
428,PT. Akselerasi Global Sistem,A-0008,,,,,
13901,PT. Aliansi Sakti,A-0048,,,,,
8301,PT. All Data Internasional,A-0037,,,,021-29319396,
6151,PT. Alpha Global Teknologi,A-0028,,,,024-30009168,
25501,PT. Alphaomega Sumber Rezeki,A-0079,,,,,
24353,PT. Altaflix Techno Global,A-0074,,,,,
1451,PT. Altros Teknologi,A-0002,,,,021-66670782,
7500,PT. Ampnet Mega Pacific,A-0036,,,,,
25800,PT. Ananta Multitech Internusa,A-0081,,,,,
18151,PT. Anaterra Tech Solution,A-0064,,,,,
14952,PT. Anugrah Global Teknologi,A-0053,,,,,
15201,PT. Anugrah Pratama Informatika,A-0056,,,,,
8350,PT. Aplikasinusa Lintasarta,A-0038,,,,,
21854,PT. Aqrapana Daya Mandiri,A-0068,,,,,
9050,PT. Aquanur Powerindo,A-0040,,,,,
4651,PT. Arase Teknologi Indonesia,A-0024,,,,,
9100,PT. Arasy Teknologi Nusantara,A-0041,,,,,
26450,PT. Ardei Gatra Mayantara,A-0083,,,,,
14753,PT. Arepa Nastakom Madani,A-0054,,,,,
3405,PT. Arfa Tuntas Makmur,A-0019,,,,021-296624777,
24200,PT. Arfikra Nusantara Techno,A-0073,,,,,
26200,PT. Argenta Terra International,A-0082,,,,,
25750,PT. Arkodia Integra Teknologi,A-0080,,,,,
24750,PT. Arsys Data Integrasi,A-0076,,,,,
18900,PT. Arta Mediatek Transformasi,A-0065,,,,,
327,PT. Artha Anugrah Berkat,A-0004,,,ariantoarthaban@yahoo.com,021-54350121,
23700,PT. Artha Infinitech Solusindo,A-0071,,,,,
5901,PT. Artha Mitra Interdata,A-0027,,,,,
6400,PT. Artha Telekomindo,A-0029,,,,021-25525100,
18250,PT. Arthatech Selaras,A-0063,,,,,
14350,PT. Artifnet Global Indonesia,A-0049,,,,,
3400,PT. Arunika Digital Prakarsa,A-0018,,,,,
1452,PT. Ascon Multi Prama,A-0003,,,,0815-1002-0055,
16650,PT. Asia Megantara Sejati,A-0060,,,,,
408,PT. Asiamas Teknologi Informatika,A-0006,,,,,
21600,PT. Astel Sistem Teknologi,A-0067,,,,,
27750,PT. Astha Sinergi Nusantara,A-0090,,,,,
4200,PT. Astra Graphia Information Technology,A-0022,,,,,
16351,PT. Atharva Telematika Persada,A-0059,,,,,
5600,PT. Atmos Teknologi Indonesia,A-0026,,,,,
26650,PT. Aulia Nusantara Teknologi,A-0084,,,,,
449,PT. Aulia Sentral Multidata,A-0009,,,,,
20002,PT. Autojaya IDetech,A-0066,,,,,
26501,PT. Avarte Indonesia,A-0086,,,,,
13750,PT. Ayooklik Mitra Sinergi,A-0047,,,,,
328,PT. Azzam Khalif Fikar,A-0007,,,,,
502,PT. BLIP Integrator Provider,B-0011,,,,,
19251,PT. Bagus Media Utama,B-0028,,,,,
21301,PT. Bajau Escorindo,B-0031,,,,(021) 50578999,
9451,PT. Bali Towerindo Sentra,B-0018,,,,,
21201,PT. Bangkit Kinerja Mandiri Prima,B-0030,,,,,
252,PT. Bangun Informasi Teknologi,B-0009,,,,,
15350,PT. Bangun Prima Indonesia,B-0025,,,,,
25151,PT. Bangun Selaras Solusindo,B-0037,,,,,
1954,PT. Batanghari Baik Net,B-0013,,,,,
22600,PT. Beibi Cemerlang Indonesia,B-0034,,,,,
460,PT. Berca Hardayaperkasa,B-0008,,,,,
6251,PT. Berkatmas Mulia Guna,B-0016,,,,021-70956809,
22500,PT. Berlian Sistem Informasi,B-0033,,,,,
7901,PT. Berlisensi Berkah Mandiri,B-0017,,,,(021) 22279318,
25050,PT. Bhakti Solusindo,B-0036,,,,,
101,PT. Bhakti Unggul Teknovasi,B-0004,,,,,
9750,PT. Bima Asri Intermitra,B-0019,,,,021–82623680,
22100,PT. Binareka Tatamandiri,B-0032,,,,,
25500,PT. Bintan Hotel,B-0038,,,,,
12851,PT. Bintang Anagata Jaya,B-0022,,,,,
2000,PT. Bintang Mataram Teknologi,B-0012,,,,(0274) 4331818 / 6051818,
24900,PT. Biosron,B-0035,,,,,
1850,PT. Bit Algoritma Data,B-0003,,,,,
375,PT. Blessindo Cahaya Teknologi,B-0005,,,,,
446,PT. Bonet Utama,B-0006,,,,08111137005,
26551,PT. Buana Indo Pratama,B-0039,,,,,
15400,PT. Buana Logika Utama,B-0026,,,,0271-7462445,
9751,PT. Buana Selaras Globalindo,B-0020,,,,021-75672127,
368,PT. Buana Variakomputama,B-0007,,,,021-7265907,
13600,PT. Bumi Inti Teknologi,B-0023,,,,,
28250,PT. CETC Teknologi Indonesia,C-0030,,,,,
20003,PT. CNM Biz Indonesia,C-0022,,,,,
4150,PT. Cablenet Fiber Data,C-0009,,,,,
3500,PT. Cakra Tekno Investama,C-0007,,,,,
14101,PT. Cakramedia Indocyber,C-0017,,,,021-66605377,
21852,PT. Cala Antero Nusa,C-0024,,,,,
467,PT. Catur Sekawan Adipraya,C-0004,,,,,
310,PT. Cdecom Surya Mandiri,C-0001,,,,,
22050,PT. Cemara Indah Mas,C-0025,,,,,
20850,PT. Cendikia Global Solusi,C-0023,,,,,
17900,PT. Centra Mitra Telematika,C-0020,,,,,
29100,PT. Central Creative Solution,C-0034,,,,,
22250,PT. Chanos Solusi Integrasi,C-0026,,,,,
17150,PT. Choice Plus Gemilang,P-0035,,,,,
8250,PT. Cipta Aprindo Pratama,C-0011,,,,,
8650,PT. Cipta Kreasi Inovatif,C-0013,,,,,
8501,PT. Cipta Omega Makmur,C-0012,,,,,
14300,PT. Cipta Pratama Solusindo,C-0018,,,,,
22800,PT. Cipta Sarana Integrasi,C-0027,,,,,
8800,PT. Citra Kreasi Inovatif,C-0014,,,,,
4850,PT. Citra Sentosa Solusindo,C-0002,,,,021-5704789,
329,PT. Comet Data Connect,C-0003,,,,,
1153,PT. Comtronics Systems,C-0006,,,,,
13900,PT. Connexio Sistem Integrasi,C-0016,,,,,
204,PT. Cube Teknologi Indonesia,C-0005,,,,021-29319384,
27950,PT. Cyberindo Aditama,C-0029,,,,,
7450,PT. Cybermax Indonesia,C-0010,,,,,
7302,PT. Daksa Pangukapara Laras,D-0022,,,,,
1703,PT. Dari Teknologi Nusantara,D-0009,,,,+6285312909777,
5601,PT. Darpa Balakosa Semesta,D-0019,,,,,
1702,PT. Dasa Aprilindo Sentosa,D-0008,,,info@daas.co.id,021-27872101,
22150,PT. Data Jaringan Mandiri,D-0049,,,,,
14050,PT. Data Net Andora,D-0029,,,,,
7103,PT. Data Prima Solusi,D-0021,,,,,
5751,PT. Data Prima Solusindo,D-0020,,,,,
19300,PT. Data Teknologi Solusindo,T-0031,,,,,
14550,PT. Data Utama Dinamika,D-0031,,,,,
25302,PT. Datalink Mitra Abadi,D-0056,,,,,
19750,PT. Datanet Sistem Integrasi,D-0042,,,,,
21003,PT. Datapoint,D-0046,,,,,
18500,PT. Datascrip,D-0040,,,,,
390,PT. Datavis Indonesia,D-0004,,,,021-5503260,
2200,PT. Dayak Nusantara Bersatu,D-0010,,,,,
316,PT. Dedikasi Teknologi Solusi,D-0001,,,,,
19850,PT. Dekagon Indonesia Pratama,D-0043,,,,,
8050,PT. Dewa Daru Aditech Prima,D-0024,,,,021-85905525,
24700,PT. Dewata Investama Teknologi,D-0052,,,,,
7601,PT. Digdaya Solusi Teknologi,D-0023,,,,021-29487512,
3700,PT. Digital Aplikasi Solusi,D-0013,,,,,
26900,PT. Digital Apta Media,D-0058,,,,,
21901,PT. Digital Dewata Vision,D-0048,,,,0857-3845-1826 | 0877-6132-6969,
505,PT. Digital Solusi Integrasia,D-0006,,,,,
14700,PT. Dinamika Cipta Solusi,D-0033,,,,,
4452,PT. Dinamika Elektronik Indonesia,D-0016,,,,,
1450,PT. Dinamika Kreasi Teknologi,D-0007,,,,,
426,PT. Dipta Kencana Teknologi,D-0005,,,,,
18300,PT. Dipta Sabda Utama,D-0039,,,,,
22700,PT. Dirgahayu Inovasi Asia,I-0046,,,,,
15500,PT. Diskon Notebook Indonesia,D-0035,,,,031-99241099,
16252,PT. Divercel Teknologi Corp,D-0036,,,,,
23701,PT. Djaja Listrik,D-0051,,,,,
27800,PT. Djaya Artha Berkarya,D-0060,,,,,
25250,PT. Doel Sumbang,D-0055,,,,,
10800,PT. Dua Inti Sinergy,D-0026,,,,0217945301,
20300,PT. Dua Rimba Medtech Indonesia,D-0044,,,,,
21500,PT. Dunia Virtual Online Tbk,D-0047,,,,,
2350,PT. Duta Computer,D-0011,,,,0778-433007,
374,PT. Duta Kalingga Pratama,D-0002,,,purchasing@sgp-dkp.com,021-64700833,
20450,PT. Duta Kreasi Informatika,D-0045,,,,,
23000,PT. Duta Sarana Abadi Jaya,D-0050,,,,,
25200,PT. Duta Solusi Prima,D-0054,,,,,
335,PT. Duta Teknik Solusindo,D-0003,,,,085711373930,
3800,PT. Duta Teknologi Nusantara,D-0014,,,yansen@dtn.co.id,021-22302853,
13500,PT. Dutakom Wibawa Putra,D-0027,,,,,
17801,PT. Dwi Tunggal Putra,D-0038,,,,,
5503,PT. ECS Indo Jaya,E-0010,,,,021-22620699,
24100,PT. Elecomindo Jayapratama,E-0020,,,,,
16751,PT. Elementa Teknologi,E-0015,,,,,
21802,PT. Enfi Solusi Indonesia,E-0019,,,,,
6050,PT. Enggal Bersaudara Jaya,E-0011,,,,,
330,PT. Era Lintas Data Solusindo,E-0001,,,,021-22537010,
3801,PT. Eugenea Kreasi Utama,E-0007,,,,021- 29085542,
21102,PT. Eventus Solution,E-0018,,,,,
420,PT. Exa Teknologi Indonesia,E-0002,,,,021-22608888,
18901,PT. Exadaya Loka Niaga,E-0017,,,,,
1701,PT. Exeed Indo jaya,E-0003,,,,,
406,PT. Expert Data Voice Solution,E-0004,,,,08118037860,
306,PT. Fanah Jaya Maindo,F-0001,,,,021-89908556,
12500,PT. Fasya Pratama Solusindo,F-0012,,,,,
3802,PT. Fiber Network Indonesia,F-0008,,,,,
20950,PT. Findo Mega Abadi,F-0018,,,,,
325,PT. Focus Central Securindo,F-0002,,,,0778-461188,
23550,PT. Fokus Inovasi Digital,F-0019,,,,,
1600,PT. Forit Asta Solusindo,F-0004,,,,0815-7067484,
6101,PT. Forosta Jaya Makmur,F-0009,,,,021-55957924,
13852,PT. Foura Inti Sinergi,F-0013,,,,,
3150,PT. Frits Data Nusantara,F-0007,,,,,
19000,PT. Fronlainer Teknologi Indonesia,F-0016,,,,,
2900,PT. Fujitsu Indonesia,F-0006,,,,021-55913723,
21851,PT. GIS Teknologi Prasasta,G-0025,,,,,
17200,PT. GSM Teknologi,G-0022,,,,,
14501,PT. Gading Indo Sarana,G-0019,,,,,
7104,PT. Gading Murni,G-0011,,,,,
466,PT. Gaia Surya Infrastrada,G-0004,,,,,
9850,PT. Galeri Mitra Sejahtera,G-0014,,,,,
4450,PT. Generasi Kita Bisa,G-0008,,,,,
24302,PT. Global Digital Niaga,G-0027,,,,,
1152,PT. Global Giga Solusi,G-0003,,,,,
8151,PT. Global Integra Solusindo (GSS CCTV),G-0012,,,,,
6150,PT. Global Integrasi Mitra Sinergi,G-0010,,,,,
11001,PT. Global Media Data Prima,G-0015,,,,,
5950,PT. Global Teknik Informasi,G-0009,,,,,
25852,PT. Global Teknologi Teraindo,G-0031,,,,,
14403,PT. Global Transformasi Teknologi,G-0020,,,,,
25650,PT. Globalindo Data Solusi,G-0030,,,,,
2300,PT. Gloria Jaya Utama Indonesia,G-0006,,,,,
25400,PT. Goklik Solution Indonesia,G-0029,,,,,
14400,PT. Gosyen Solusindo Cemerlang,G-0018,,,,,
15450,PT. Gracia Santo Indonesia,G-0021,,,,,
2501,PT. Graha Anugerah Sejahtera,G-0005,,,,087822452000,
3900,PT. Graha Fatta,G-0007,,,,(021) 7291368,
25201,PT. Grahatrindo Pancamitra Sukses Makmur,G-0028,,,,,
23150,PT. Gratelindo Lintas Global,G-0026,,,,,
19650,PT. Gunungsari WiditamaJaya,W-0011,,,,,
9400,PT. Gyra Inti Jaya,G-0013,,,,,
19100,PT. HBE Dot Teknologi,H-0019,,,,,
16800,PT. Haiga Citra Digital,H-0015,,,,,
25900,PT. Haitek Solusi Indonesia,H-0024,,,,,
2202,PT. Hallo Indonesia Teknologi,H-0004,,,,021-27514518,
7400,PT. Hanasta Indo Teknologi,H-0009,,,,,
205,PT. Hanna Integrasi Solusi,H-0001,,,,,
23800,PT. Harrisma Buwana Jaya,H-0023,,,,,
8351,PT. Harrisma Informatika Jaya,H-0010,,,,"021-5857413, 5845550",
17050,PT. Harrisma Wisesajaya,H-0016,,,,,
16200,PT. Harsono Properti Indonesia,H-0013,,,,,
14405,PT. Harya Pilar Utama Sukses,H-0012,,,,,
21801,PT. Hasta Adhiraya,H-0022,,,,,
21350,PT. Heksa Digital Mitra Informasi,H-0021,,,,,
7301,PT. Hexa Daya Solusi,H-0007,,,,,
13300,PT. Hipernet Indodata,H-0011,,,,021-293939393,
17250,PT. Huawei Tech Investment,H-0017,,,,,
19950,PT. Huawei Tech Investment,H-0020,,,,,
25950,PT. Icon Technology,I-0053,,,,,
21601,PT. Ideologi Nusa Integrasi,I-0044,,,,,
2001,PT. Ifabula Digital Kreasi,I-0013,,,,,
5602,PT. Iforte Solusi Infotek,I-0022,,,,,
11950,PT. Imani Prima,I-0032,,,,,
13251,PT. Implementasi Teknologi Indonesia,I-0034,,,,,
1700,PT. Impresi Perdana,I-0011,,,,021-8281250,
450,PT. Indo Cakaps Global,I-0008,,,,,
1852,PT. Indo Prima Akses (Indoakses),I-0012,,,,,
10150,PT. Indocom Niaga,I-0031,,,,021-56944121,
14150,PT. Indocyber Global Teknologi,I-0035,,,,,
14502,PT. Indointernet,I-0036,,,,,
16600,PT. Indokomtek Persada Integrasi,I-0039,,,,,
300,PT. Indomega Teknologi,I-0001,,,,021-22655550,
22400,PT. Indonesia Comnets Plus,I-0045,,,,,
25100,PT. Indonusa Solutama,I-0051,,,,,
4602,PT. Indosat Ooredoo Hutchison,I-0019,,,,,
311,PT. Indotama Media Teknologi,I-0002,,,,021-84988319,
150,PT. Indotek Buana Karya,I-0003,,,,022-58999225,
4400,PT. Inet Global Indo,I-0018,,,,,
23900,PT. Infinity Halim Jaya,I-0049,,,,,
27300,PT. Infotech Tantami Nusantara,I-0058,,,,,
3451,PT. Infracom Technology,I-0015,,,,021-39717888,
9500,PT. Infrastruktur Digital Indonesia,I-0029,,,,,
21000,PT. Ingen Technologies,I-0042,,,,,
3851,PT. Inofastama Cakrawala Teknologi,I-0016,,,,021 - 3032 9688,
25600,PT. Inovasi Teknologi Makmur,I-0052,,,,,
336,PT. Inovasi Tjaraka Buana,I-0004,,,,022-87301369,
7550,PT. Intan Pertiwi Industri,I-0026,,,,021-55776623,
12700,PT. Integra Kreasitama Solusindo,I-0033,,,,,
20750,PT. Integra Solusi Mandiri,I-0041,,,,,
471,PT. Integrasindo Mitra Sejati,I-0009,,,,,
6750,PT. Integritas Data Nusantara (ID Network),I-0024,,,,,
437,PT. Inter Medialink Solusi,I-0007,,,,021-0099911,
348,PT. Internet Mulia Untuk Negeri,I-0005,,,,08116365679,
5301,PT. Inti Data Telematika,I-0021,,,,,
5800,PT. Inti Jaya Teknologi,I-0023,,,,,
504,PT. Inti Sarana Teknologi,I-0010,,,,,
314,PT. Intikom Berlian Mustika,I-0006,,,,021-0099911,
26050,PT. Intisari Komputindo,I-0054,,,,,
15550,PT. Invensi Kreatif Indonesia,I-0037,,,,,
6800,PT. Invision Solusi Teknologi,I-0025,,,,,
9501,PT. Ionpay Networks,I-0030,,,,,
2750,PT. Irama Bintang Timur,I-0014,,,info@irbt.co.id,021-87720591,
28150,PT. Itudata Arczenit Omega,I-0060,,,,,
18450,PT. JEC Kharisma Solusindo,J-0019,,,,0541-738315,
4500,PT. JFX Teknologi Indonesia,J-0010,,,,,
200,PT. Jagoan Teknologi Digital,J-0003,,,,,
2201,PT. Jairo Berkat Usaha,J-0009,,,jbu@jairo.co.id,0812-23780090,
26201,PT. Jakarta Internatioal Higher Education,J-0021,,,,,
603,PT. Janur Teknik Mandiri,J-0008,,,,021-92610534,
7151,PT. Jasa Tukang Listrik,J-0012,,,,,
