customer_id,cluster_id,cluster_label,recency,frequency,monetary,avg_transaction_value,purchase_consistency
445,0,Medium Value,205,12,97487040.0,8123920.0,0.297
449,1,Low Value,719,1,78636800.0,78636800.0,0.297
460,0,Medium Value,-310,171,2910081378.7389474,17018019.758707296,0.0
463,0,Medium Value,-156,37,511658106.14,13828597.463243242,0.037
466,1,Low Value,301,10,36386000.0,3638600.0,0.297
467,0,Medium Value,241,12,176064000.0,14672000.0,1.0
471,0,Medium Value,-162,45,1986438330.0,44143074.0,0.0
472,0,Medium Value,-250,11,59950000.0,5450000.0,1.0
476,1,Low Value,719,9,497130000.0,55236666.66666666,0.297
500,1,Low Value,629,7,10179250.44,1454178.6342857142,0.297
501,1,Low Value,300,1,10400000.0,10400000.0,0.297
502,1,Low Value,599,1,78636800.0,78636800.0,0.297
505,0,Medium Value,-345,27,143660624.32,5320763.863703704,0.0
506,0,Medium Value,-247,61,3207905495.0,52588614.67213115,0.0
550,1,Low Value,569,2,3134000.0,1567000.0,1.0
600,0,Medium Value,49,2,204076375.0,102038187.5,0.297
603,1,Low Value,569,1,10809000.0,10809000.0,0.297
700,1,Low Value,719,5,134070000.0,26814000.0,0.297
755,0,Medium Value,-68,5,10897519.0,2179503.8,0.297
856,0,Medium Value,-123,14,82604458.0,5900318.428571428,0.0
911,1,Low Value,477,5,56962000.0,11392400.0,1.0
912,1,Low Value,508,1,2926800.0,2926800.0,0.297
913,0,Medium Value,-315,153,504500035.41,3297385.8523529414,0.0
1050,1,Low Value,477,4,47613691.0,11903422.75,1.0
1051,1,Low Value,477,1,127000000.0,127000000.0,0.297
1052,1,Low Value,719,1,85785600.0,85785600.0,0.297
1103,0,Medium Value,-282,33,396534000.0,12016181.818181818,0.0
1150,1,Low Value,719,13,205500000.0,15807692.307692308,0.297
1152,1,Low Value,447,2,73000000.0,36500000.0,1.0
1153,0,Medium Value,-250,32,251108664.0,7847145.75,0.0
1200,0,Medium Value,-274,37,235292105.97,6359246.107297298,0.0
1203,0,Medium Value,265,12,495578925.0,41298243.75,1.0
1204,1,Low Value,719,4,94300000.0,23575000.0,0.297
1301,0,Medium Value,209,3,71660000.0,23886666.666666668,1.0
1350,1,Low Value,719,1,15522000.0,15522000.0,0.297
1351,1,Low Value,719,2,85826703.0,42913351.5,0.297
1400,0,Medium Value,55,9,78300000.0,8700000.0,1.0
1450,1,Low Value,146,8,63030000.0,7878750.0,0.0
1451,0,Medium Value,-38,14,312502690.0,22321620.714285716,0.297
1452,1,Low Value,719,1,31500000.0,31500000.0,0.297
1453,0,Medium Value,-308,25,4984245261.666667,199369810.46666667,0.0
1500,1,Low Value,719,3,16755532.0,5585177.333333333,0.297
1550,1,Low Value,719,4,47812000.0,11953000.0,0.297
1600,0,Medium Value,-92,38,355474320.0,9354587.368421054,0.0
1700,0,Medium Value,49,2,24600000.0,12300000.0,0.297
1701,0,Medium Value,-310,31,994943506.0,32094951.80645161,0.0
1702,0,Medium Value,152,3,67410080.0,22470026.666666668,0.297
1703,0,Medium Value,205,26,583240000.0,22432307.69230769,1.0
1750,1,Low Value,719,7,161830000.0,23118571.42857143,0.297
1801,1,Low Value,719,2,19990545.0,9995272.5,0.297
1850,0,Medium Value,-280,63,403334367.0,6402132.80952381,0.0
1852,0,Medium Value,-183,15,129515615.84714286,8634374.389809525,0.581
1900,0,Medium Value,-285,66,341139162.50714284,5168775.189502165,0.0
1950,1,Low Value,385,6,80900000.0,13483333.333333334,0.297
1951,0,Medium Value,-216,18,151267830.0,8403768.333333334,0.0
1953,0,Medium Value,113,13,72615000.0,5585769.230769231,0.297
1954,1,Low Value,719,7,53287600.0,7612514.285714285,0.297
2000,1,Low Value,145,6,60712000.0,10118666.666666666,0.0
2001,0,Medium Value,150,50,692605553.0,13852111.06,0.0
2002,1,Low Value,719,21,1309304000.0,62347809.52380952,0.297
2051,0,Medium Value,268,24,119821979.0,4992582.458333333,0.297
2052,0,Medium Value,115,4,280950000.0,70237500.0,1.0
2102,1,Low Value,719,1,2684684.68,2684684.68,0.297
2150,1,Low Value,719,5,1380000000.2,276000000.04,0.297
2200,0,Medium Value,-310,99,5633693804.9,56905998.029292926,0.0
2201,0,Medium Value,-310,27,190040850.0,7038550.0,0.0
2202,1,Low Value,719,1,7650000.0,7650000.0,0.297
2203,0,Medium Value,-98,62,351318449.0,5666426.596774193,0.0
2250,1,Low Value,206,2,102000000.0,51000000.0,0.297
2300,0,Medium Value,-316,65,2084932830.01,32075889.69246154,0.0
2302,0,Medium Value,-66,10,40310657.870000005,4031065.787000001,1.0
2350,1,Low Value,719,3,54576784.0,18192261.33333333,0.297
2351,1,Low Value,719,6,88009009.09,14668168.181666669,0.297
2352,0,Medium Value,242,22,961570003.81,43707727.44590909,1.0
2353,0,Medium Value,182,5,14355400.0,2871080.0,0.297
2354,0,Medium Value,-191,3,58460104.0,19486701.33333333,0.297
2355,1,Low Value,719,4,125232000.0,31308000.0,0.297
2356,0,Medium Value,-7,9,53107000.0,5900777.777777778,0.16
2400,1,Low Value,719,1,38618896.0,38618896.0,0.297
2451,0,Medium Value,30,12,93810000.0,7817500.0,0.297
2500,0,Medium Value,-343,158,2383921000.0,15088107.594936708,0.0
2501,0,Medium Value,23,21,122185000.0,5818333.333333333,0.0
2650,1,Low Value,719,4,15496000.0,3874000.0,0.297
2700,1,Low Value,719,1,16144142.0,16144142.0,0.297
2750,0,Medium Value,-71,3,12426000.0,4142000.0,0.297
2751,1,Low Value,719,13,803000000.0,61769230.76923077,0.297
2850,1,Low Value,719,2,75550000.0,37775000.0,0.297
2900,1,Low Value,719,1,106126082.0,106126082.0,0.297
2950,1,Low Value,719,5,163320000.0,32664000.0,0.297
2951,1,Low Value,719,2,14148000.0,7074000.0,1.0
3000,1,Low Value,271,9,23626522.77,2625169.196666667,0.0
3050,1,Low Value,719,3,6050000.0,2016666.6666666667,0.297
3100,1,Low Value,174,6,110401622.0,18400270.33333333,0.0
3150,0,Medium Value,-312,72,3675151748.0,51043774.277777776,1.0
3250,0,Medium Value,-337,35,235588900.0,6731111.428571428,0.0
3251,1,Low Value,629,2,3794594.6,1897297.3,0.297
3300,0,Medium Value,-337,3,12988972.0,4329657.333333333,0.0
3350,0,Medium Value,-219,24,4398391018.72,183266292.4466667,0.0
3400,1,Low Value,719,2,48400000.0,24200000.0,0.297
3401,1,Low Value,415,1,7800000.0,7800000.0,0.297
3403,0,Medium Value,-220,41,798224642.0,19468893.707317077,0.0
3405,1,Low Value,415,1,900000.0,900000.0,0.297
3450,0,Medium Value,-62,23,1169210000.0,50835217.39130435,0.0
3451,0,Medium Value,-255,48,7903708327.0,164660590.14583334,0.0
3500,0,Medium Value,91,10,560480000.0,56048000.0,1.0
3600,0,Medium Value,-12,16,116210000.0,7263125.0,1.0
3601,0,Medium Value,-340,305,1795611739.71,5887251.605606558,0.0
3650,1,Low Value,359,5,75636340.0,15127268.0,0.297
3700,0,Medium Value,-154,40,2224233354.8,55605833.870000005,0.0
3701,0,Medium Value,-247,11,47910900.0,4355536.363636363,1.0
3750,1,Low Value,305,2,22522522.5,11261261.25,0.297
3752,0,Medium Value,-315,87,3696052208.104912,42483358.71384957,0.0
3753,0,Medium Value,-279,32,332267608.83,10383362.7759375,0.0
3755,1,Low Value,719,3,54780000.0,18260000.0,0.297
3800,0,Medium Value,-131,18,311545637.0,17308090.944444444,0.0
3801,0,Medium Value,121,1,85000000.0,85000000.0,0.297
3802,0,Medium Value,54,9,583000000.0,64777777.777777776,0.297
3850,0,Medium Value,237,15,116678000.0,7778533.333333333,1.0
3851,1,Low Value,719,6,211298516.0,35216419.333333336,0.297
3852,0,Medium Value,-340,89,1146477590.0,12881770.674157305,0.0
3900,0,Medium Value,-123,9,530275026.00857145,58919447.334285714,0.297
3901,0,Medium Value,-102,10,39573900.0,3957390.0,0.0
3902,1,Low Value,327,3,374235856.3,124745285.43333334,0.297
4001,1,Low Value,719,2,9570000.0,4785000.0,0.297
4050,1,Low Value,719,2,1709000.0,854500.0,0.297
4051,0,Medium Value,-123,59,4171505500.2,70703483.05423729,0.0
4052,1,Low Value,719,5,2413000.0,482600.0,0.297
4100,1,Low Value,719,2,6820000.0,3410000.0,0.297
4150,0,Medium Value,-283,7,82939185.15,11848455.021428572,0.297
4151,0,Medium Value,30,3,1337000.0,445666.6666666667,0.297
4200,1,Low Value,719,11,755929603.8461539,68720873.07692307,0.297
4300,1,Low Value,719,2,2640000.0,1320000.0,0.297
4350,1,Low Value,719,3,3352369.0,1117456.3333333333,0.297
4400,1,Low Value,719,2,9600000.0,4800000.0,0.297
4450,0,Medium Value,91,10,122557500.0,12255750.0,1.0
4451,0,Medium Value,305,3,17682000.0,5894000.0,1.0
4452,1,Low Value,294,5,101607000.0,20321400.0,0.297
4453,0,Medium Value,-12,8,3837175000.0,479646875.0,0.0
4500,1,Low Value,719,5,43852790.0,8770558.0,0.297
4501,0,Medium Value,212,13,267511800.0,20577830.769230768,0.297
4550,1,Low Value,331,4,134032384.0,33508096.0,0.297
4551,0,Medium Value,305,7,221356500.0,31622357.14285714,1.0
4600,0,Medium Value,176,4,6839109.119811321,1709777.2799528302,0.297
4601,1,Low Value,719,1,240809.0,240809.0,0.297
4602,0,Medium Value,-255,50,983414272.1428572,19668285.442857143,1.0
4650,0,Medium Value,-98,16,112173000.0,7010812.5,1.0
4651,1,Low Value,212,3,32007928.0,10669309.333333334,0.0
4700,0,Medium Value,274,2,2053000.0,1026500.0,1.0
4701,1,Low Value,244,1,980000.0,980000.0,0.297
4750,0,Medium Value,-279,8,41917567.6,5239695.95,0.297
4800,0,Medium Value,-41,23,1742127812.75,75744687.51086956,0.0
4850,0,Medium Value,60,2,7000000.0,3500000.0,1.0
4900,0,Medium Value,121,3,1370718.0,456906.0,0.297
5000,0,Medium Value,30,1,3847000.0,3847000.0,0.297
5001,0,Medium Value,-2,10,3838072.0,383807.2,0.0
5050,0,Medium Value,-213,24,941832990.81,39243041.28375,0.0
5150,0,Medium Value,-219,22,613900000.0,27904545.454545453,0.297
5200,1,Low Value,719,2,17080000.0,8540000.0,0.297
5301,0,Medium Value,-244,27,1448497072.0,53648039.7037037,1.0
5350,1,Low Value,719,4,46006000.0,11501500.0,0.297
5450,0,Medium Value,-224,18,252859500.0,14047750.0,1.0
5500,1,Low Value,719,8,40068000.0,5008500.0,0.297
5501,1,Low Value,719,23,644442000.0,28019217.391304348,0.297
5502,0,Medium Value,22,13,17170515.35700901,1320808.8736160777,0.0
5503,0,Medium Value,-102,25,319101100.0,12764044.0,0.0
5550,0,Medium Value,299,17,188118500.0,11065794.11764706,1.0
5551,1,Low Value,719,18,1258928571.4885714,69940476.19380952,0.297
5552,1,Low Value,719,3,2642000.0,880666.6666666666,0.297
5553,0,Medium Value,-92,12,152001965.17000002,12666830.430833334,0.095
5554,0,Medium Value,-156,44,1622242526.0,36869148.31818182,0.0
5555,1,Low Value,719,8,78810000.0,9851250.0,0.297
5600,0,Medium Value,-279,30,95781712.8,3192723.76,0.0
5601,1,Low Value,719,3,28644438.0,9548146.0,0.297
5602,1,Low Value,209,7,62322500.0,8903214.285714285,0.0
5603,1,Low Value,719,9,674672000.0,74963555.55555555,0.297
5750,0,Medium Value,-285,13,174748133.49,13442164.114615384,1.0
5751,1,Low Value,719,3,14850000.0,4950000.0,0.297
5800,0,Medium Value,-343,14,487494000.0,34821000.0,0.0
5850,0,Medium Value,-310,45,252291618.0,5606480.4,0.0
5851,1,Low Value,269,9,25385940.0,2820660.0,0.297
5900,1,Low Value,364,1,17400000.0,17400000.0,0.297
5901,1,Low Value,333,2,8960000.0,4480000.0,0.297
5950,0,Medium Value,-182,16,476316000.0,29769750.0,1.0
6000,0,Medium Value,333,2,1587000.0,793500.0,1.0
6050,1,Low Value,212,1,2360000.0,2360000.0,0.297
6051,0,Medium Value,-336,15,106133898.0,7075593.2,0.0
6100,0,Medium Value,150,3,110712421.05,36904140.35,1.0
6101,0,Medium Value,241,5,2881954284.0,576390856.8,1.0
6150,1,Low Value,719,5,30590000.0,6118000.0,0.297
6151,0,Medium Value,-182,6,10876622.0,1812770.3333333333,1.0
6152,1,Low Value,719,5,73275000.0,14655000.0,0.297
6153,1,Low Value,719,1,360000000.0,360000000.0,0.297
6200,0,Medium Value,363,2,8754686.0,4377343.0,1.0
6201,0,Medium Value,29,1,2760000.0,2760000.0,0.297
6250,0,Medium Value,-340,72,2329005366.26,32347296.753611118,0.0
6251,1,Low Value,719,2,120000.0,60000.0,0.297
6350,0,Medium Value,268,32,3813751350.0769234,119179729.68990386,1.0
6400,1,Low Value,238,6,165150000.0,27525000.0,0.297
6450,1,Low Value,719,2,27800000.0,13900000.0,0.297
6550,1,Low Value,719,2,16000000.0,8000000.0,0.297
6551,0,Medium Value,-336,18,267212108.05,14845117.11388889,0.0
6600,0,Medium Value,-337,14,356855988.0,25489713.42857143,0.297
6651,1,Low Value,719,2,480000.0,240000.0,0.297
6701,1,Low Value,150,10,7605361.0,760536.1,0.0
6750,1,Low Value,719,2,22500000.0,11250000.0,0.297
6751,0,Medium Value,209,9,881063875.0,97895986.1111111,1.0
6800,0,Medium Value,-337,87,1318976928.49,15160654.35045977,0.0
7000,0,Medium Value,-184,7,109820000.0,15688571.42857143,0.0
7001,1,Low Value,242,2,280000.0,140000.0,0.297
7050,0,Medium Value,181,16,213116380.9,13319773.80625,0.297
7100,1,Low Value,719,1,5150000.0,5150000.0,0.297
7101,1,Low Value,719,2,2580000.0,1290000.0,0.297
7103,0,Medium Value,23,6,78262130.0,13043688.333333334,1.0
7104,1,Low Value,719,1,9224000.0,9224000.0,0.297
7105,1,Low Value,719,1,213889.0,213889.0,0.297
7151,1,Low Value,719,1,1700000.0,1700000.0,0.297
7152,1,Low Value,719,2,1743000.0,871500.0,0.297
7200,1,Low Value,719,4,6980085.0,1745021.25,0.297
7250,1,Low Value,268,9,45070283.42,5007809.268888889,0.297
7251,0,Medium Value,208,20,2311208039.0,115560401.95,0.297
7300,1,Low Value,719,1,2700000.0,2700000.0,0.297
7301,1,Low Value,719,1,8000000.0,8000000.0,0.297
7302,1,Low Value,719,2,58483056.0,29241528.0,0.297
7400,0,Medium Value,49,3,1442000.0,480666.6666666667,0.297
7450,1,Low Value,719,2,265600000.0,132800000.0,0.297
7500,1,Low Value,239,5,73314500.0,14662900.0,0.297
7550,0,Medium Value,-97,9,131271967.0,14585774.111111112,0.0
7600,1,Low Value,719,67,401900800.0,5998519.402985075,0.297
7601,1,Low Value,719,3,15736000.0,5245333.333333333,0.297
7651,1,Low Value,719,8,1957796495.96,244724561.995,0.297
7750,1,Low Value,719,1,1657658.0,1657658.0,0.297
7901,1,Low Value,719,2,5528000.0,2764000.0,0.297
7950,0,Medium Value,-182,5,28570000.0,5714000.0,0.0
8000,1,Low Value,362,1,12612613.0,12612613.0,0.297
8050,0,Medium Value,-306,5,244215000.0,48843000.0,0.297
8100,0,Medium Value,-248,4,129036000.0,32259000.0,0.297
8150,0,Medium Value,-274,17,8704407.0,512023.9411764706,0.0
8151,0,Medium Value,-217,51,169565382.34714285,3324811.4185714284,0.0
8250,0,Medium Value,241,2,11850400.0,5925200.0,1.0
8300,1,Low Value,268,2,120000.0,60000.0,0.297
8301,0,Medium Value,234,23,456018000.01,19826869.565652173,1.0
8350,0,Medium Value,239,8,536700000.0,67087500.0,1.0
8351,0,Medium Value,-102,4,35373000.0,8843250.0,1.0
8400,0,Medium Value,176,4,4882632.0,1220658.0,0.297
8401,1,Low Value,719,5,60439180.0,12087836.0,0.297
8450,1,Low Value,719,6,61942320.0,10323720.0,0.297
8500,0,Medium Value,-274,16,62210401.0,3888150.0625,0.0
8502,1,Low Value,719,5,352000000.0,70400000.0,0.297
8551,0,Medium Value,-37,2,1731485.0,865742.5,0.297
8552,1,Low Value,719,1,13554000.0,13554000.0,0.297
8600,0,Medium Value,20,3,532950000.0,177650000.0,0.0
8650,1,Low Value,719,6,351500000.0,58583333.333333336,0.297
8700,1,Low Value,719,1,2000000.0,2000000.0,0.297
8750,0,Medium Value,-61,45,179905330.75,3997896.238888889,0.0
8900,1,Low Value,142,4,60155210.0,15038802.5,0.0
9001,1,Low Value,719,2,8363636.4,4181818.2,0.297
9050,1,Low Value,719,1,5520000.0,5520000.0,0.297
9100,0,Medium Value,-60,3,16436000.0,5478666.666666667,0.297
9150,0,Medium Value,176,23,27487464.0,1195107.1304347827,1.0
9250,1,Low Value,719,1,484000.0,484000.0,0.297
9300,0,Medium Value,-313,51,701760694.03,13760013.608431373,0.0
9350,0,Medium Value,-182,26,689331297.35,26512742.205769237,1.0
9400,1,Low Value,719,1,7920000.0,7920000.0,0.297
9450,1,Low Value,719,3,42700000.0,14233333.333333334,0.297
9451,1,Low Value,719,1,26000000.0,26000000.0,0.297
9500,0,Medium Value,115,23,249670000.0,10855217.391304348,1.0
9501,0,Medium Value,-66,2,187129800.0,93564900.0,0.297
9502,1,Low Value,719,9,1001300000.0,111255555.55555557,0.297
9551,0,Medium Value,178,3,33300000.0,11100000.0,1.0
9650,0,Medium Value,-217,11,72385874.34714286,6580534.031558442,0.297
9700,0,Medium Value,55,6,23886713.0,3981118.8333333335,0.297
9750,0,Medium Value,269,5,44814980.0,8962996.0,1.0
9751,0,Medium Value,299,2,6380000.0,3190000.0,1.0
9850,1,Low Value,239,1,12162162.0,12162162.0,0.297
9900,0,Medium Value,86,2,70488000.0,35244000.0,1.0
10050,0,Medium Value,115,4,100045365.0,25011341.25,0.297
10100,0,Medium Value,-69,5,12846000.0,2569200.0,1.0
10150,1,Low Value,719,2,110600000.0,55300000.0,0.297
10200,0,Medium Value,23,11,182589742.0,16599067.454545457,0.297
10250,0,Medium Value,-7,4,972480000.0,243120000.0,1.0
10300,1,Low Value,719,4,81830000.0,20457500.0,0.297
10350,1,Low Value,719,1,160000.0,160000.0,0.297
10450,1,Low Value,719,1,1263500.0,1263500.0,0.297
10500,1,Low Value,719,3,9250000.0,3083333.333333333,0.297
10501,0,Medium Value,-336,25,333710000.0,13348400.0,0.0
10550,1,Low Value,719,1,4500000.0,4500000.0,0.297
10600,0,Medium Value,205,17,63774698.0,3751452.823529412,1.0
10650,1,Low Value,719,1,69000000.0,69000000.0,0.297
10700,1,Low Value,299,1,52800000.0,52800000.0,0.297
10750,0,Medium Value,-315,8,20169000.0,2521125.0,0.0
10800,0,Medium Value,-280,3,678463763.0,226154587.66666663,0.0
10801,0,Medium Value,146,2,217879798.0,108939899.0,1.0
10850,0,Medium Value,146,3,22156200.0,7385400.0,0.297
10851,0,Medium Value,-188,4,39125000.0,9781250.0,0.0
10950,0,Medium Value,146,6,43152280.0,7192046.666666667,1.0
10951,0,Medium Value,-307,3,4101000.0,1367000.0,0.0
10952,0,Medium Value,85,1,17900000.0,17900000.0,0.297
11000,0,Medium Value,-282,3,48923832.0,16307944.0,0.297
11001,0,Medium Value,-32,22,26751000.0,1215954.5454545454,0.0
11100,0,Medium Value,-98,18,121071223.0,6726179.055555556,1.0
11101,0,Medium Value,-282,6,32186000.0,5364333.333333333,1.0
11200,1,Low Value,719,5,89133728.0,17826745.6,0.297
11250,0,Medium Value,54,1,1298500.0,1298500.0,0.297
11300,1,Low Value,719,2,46420000.0,23210000.0,0.297
11301,1,Low Value,327,9,47141556.0,5237950.666666667,0.297
11350,1,Low Value,719,4,8000000.0,2000000.0,0.297
11450,1,Low Value,719,7,38577678.0,5511096.857142857,0.297
11500,2,High Value,-61,21,24759000000.0,1179000000.0,0.0
11550,0,Medium Value,176,2,1470946.0,735473.0,0.297
11600,1,Low Value,719,3,1600000.0,533333.3333333334,0.297
11650,1,Low Value,719,2,4000000.0,2000000.0,0.297
11700,0,Medium Value,203,3,53277729.0,17759243.0,1.0
11750,0,Medium Value,20,73,246890136.23,3382056.660684932,1.0
11850,1,Low Value,237,10,50090500.0,5009050.0,0.0
11900,0,Medium Value,143,3,47303379.2,15767793.066666668,1.0
11950,1,Low Value,719,1,1400000.0,1400000.0,0.297
12000,1,Low Value,719,2,27097300.0,13548650.0,0.297
12050,0,Medium Value,-345,40,1288976000.0,32224400.0,0.0
12100,0,Medium Value,-343,9,7964530.0,884947.7777777778,0.0
12150,0,Medium Value,-244,15,213393230.11981133,14226215.341320757,1.0
12200,0,Medium Value,-159,3,154720579.0,51573526.333333336,0.297
12250,0,Medium Value,-315,36,670720000.0,18631111.111111112,1.0
12350,0,Medium Value,-216,3,7920092.0,2640030.6666666665,0.0
12400,1,Low Value,206,1,3290000.0,3290000.0,0.297
12500,0,Medium Value,206,2,11300000.0,5650000.0,1.0
12550,1,Low Value,206,2,675226.0,337613.0,0.297
12551,0,Medium Value,176,2,4466000.0,2233000.0,1.0
12600,1,Low Value,719,2,6900000.0,3450000.0,0.297
12650,0,Medium Value,-279,9,274909958.0,30545550.888888888,0.0
12700,0,Medium Value,84,32,1300045337.7166667,40626416.80364584,0.0
12750,0,Medium Value,23,4,23981208.0,5995302.0,0.297
12850,1,Low Value,719,2,8147136.0,4073568.0,0.297
12851,1,Low Value,719,6,3131700.0,521950.0,0.297
12900,1,Low Value,719,1,21000000.0,21000000.0,0.297
12950,1,Low Value,719,4,41199000.0,10299750.0,0.297
12951,1,Low Value,719,7,225000000.0,32142857.14285714,0.297
13000,0,Medium Value,-122,20,188392000.0,9419600.0,0.0
13050,0,Medium Value,51,68,53040000.0,780000.0,0.0
13100,1,Low Value,719,3,42479000.0,14159666.666666666,0.297
13150,0,Medium Value,-102,19,278994004.06,14683894.950526316,0.297
13251,0,Medium Value,326,3,1842341.0,614113.6666666666,1.0
13300,0,Medium Value,-188,4,649500000.0,162375000.0,0.0
13400,0,Medium Value,-253,3,143961714.0,47987238.0,0.297
13500,0,Medium Value,-99,9,207299720.0,23033302.222222224,1.0
13600,0,Medium Value,-343,15,214352158.0,14290143.866666667,1.0
13601,0,Medium Value,266,2,18752927.0,9376463.5,1.0
13650,0,Medium Value,205,2,4370000.0,2185000.0,1.0
13700,1,Low Value,266,1,851351.0,851351.0,0.297
13750,0,Medium Value,80,23,723601882.0,31460951.391304348,0.0
13751,1,Low Value,205,1,38359650.0,38359650.0,0.297
13800,0,Medium Value,113,7,14623649.0,2089092.7142857143,1.0
13850,0,Medium Value,-154,3,179980000.0,59993333.333333336,0.297
13852,1,Low Value,719,4,10691621.0,2672905.25,0.297
13901,1,Low Value,719,2,9390000.0,4695000.0,0.297
13950,0,Medium Value,83,5,29917044.0,5983408.8,0.297
14000,0,Medium Value,22,3,5700000.0,1900000.0,1.0
14050,0,Medium Value,-154,19,1520776725.05,80040880.26578946,0.0
14052,0,Medium Value,-285,11,90374000.0,8215818.181818182,0.297
14100,1,Low Value,719,1,4400000.0,4400000.0,0.297
14101,0,Medium Value,-182,6,9779684.0,1629947.3333333333,0.297
14150,1,Low Value,719,1,5230000.0,5230000.0,0.297
14201,1,Low Value,719,4,23696000.0,5924000.0,0.297
14250,0,Medium Value,-213,31,247535724.0,7985023.354838709,0.0
14300,0,Medium Value,-306,11,153787388.0,13980671.636363637,0.297
14350,1,Low Value,719,3,7350000.0,2450000.0,0.297
14400,1,Low Value,719,3,83679176.22,27893058.74,0.297
14401,0,Medium Value,356,5,138500000.0,27700000.0,1.0
14402,1,Low Value,234,4,29960000.0,7490000.0,0.0
14403,0,Medium Value,265,4,18368682.0,4592170.5,1.0
14404,0,Medium Value,-315,11,296484665.0,26953151.363636363,0.0
14405,1,Low Value,719,1,7000000.0,7000000.0,0.297
14451,0,Medium Value,-61,21,50225000.0,2391666.6666666665,0.0
14500,0,Medium Value,356,5,57600000.0,11520000.0,1.0
14501,1,Low Value,265,1,600000.0,600000.0,0.297
14502,0,Medium Value,50,11,13078852.0,1188986.5454545454,0.0
14550,0,Medium Value,-311,13,56180806.57795918,4321600.50599686,0.0
14600,0,Medium Value,112,3,2364150.0,788050.0,0.297
14601,1,Low Value,719,4,10786480.0,2696620.0,0.297
